data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 10800 h
param:	K:	dist	dur:= 
3027484	2996881	41		3711
3027484	6429982	85		7673
3027484	3031090	84		7583
3027484	6433662	94		8440
3027484	2989252	104		9396
3027484	6428669	85		7620
3027484	6442479	45		4006
3027484	3010372	64		5744
3027484	6614505	88		7940
3027484	2986467	65		5883
3027484	6433772	52		4641
3027484	3025965	75		6745
3027484	3015894	8		752
3027484	6455993	98		8816
3027484	6614558	28		2536
3027484	6455085	71		6423
3027484	6453869	108		9710
3027484	6456229	106		9555
3027484	3020991	115		10350
3027484	2975080	15		1387
3027484	2988971	10		910
3027484	6433657	53		4760
3027484	3016147	50		4533
3027484	3022633	60		5363
3027484	6430009	108		9733
3027484	6428942	90		8108
3027484	6454608	59		5269
3027484	6433535	54		4827
3027484	3037158	68		6085
3027484	3027147	5		409
3027484	6433750	80		7199
3027484	3016247	13		1159
3027484	6428804	63		5651
3027484	2993701	102		9169
3027484	8295719	93		8406
3027484	3022433	5		429
3027484	2975203	93		8389
3027484	2998830	98		8832
3027484	2981805	54		4825
3027484	2975819	73		6566
3027484	3005775	83		7513
3027484	3030457	48		4333
3027484	3030552	29		2591
3027484	2974710	33		2966
3027484	6442522	8		712
3027484	3017330	96		8605
3027484	6442417	13		1206
3027484	6454601	117		10499
3027484	2991880	93		8358
3027484	3024891	46		4177
3027484	6613623	57		5094
3027484	6617520	35		3134
3027484	6429893	92		8253
3027484	8287943	110		9931
3027484	2987874	55		4969
3027484	2976254	49		4409
3027484	3029350	14		1273
3027484	2993604	77		6943
3027484	6429939	100		8975
3027484	2993730	77		6953
3027484	6429714	105		9455
3027484	2974175	30		2717
3027484	6442377	66		5968
3027484	2992852	35		3180
3027484	2975079	60		5387
3027484	2978666	83		7501
3027484	2996957	67		6050
3027484	2985850	98		8793
3027484	3012961	48		4333
3027484	2985292	52		4655
3027484	6614949	77		6904
3027484	3017306	100		8981
3027484	2970653	67		6012
3027484	2978280	16		1469
3027484	3018011	10		890
3027484	3022811	66		5896
3027484	6442416	30		2685
3027484	2990620	59		5285
3027484	2978832	107		9594
3027484	6454612	52		4661
3027484	3019443	51		4623
3027484	3012211	117		10522
3027484	6614470	87		7848
3027484	3021611	16		1473
3027484	2981609	46		4124
3027484	2996286	110		9859
3027484	2976962	33		2930
3027484	2995983	84		7539
3027484	2974525	20		1830
3027484	6449981	92		8317
3027484	2970217	60		5416
3027484	3015132	92		8281
3027484	6613947	96		8677
3027484	2982994	35		3148
3027484	2995940	85		7632
3027484	6617472	105		9494
3027484	6428627	54		4835
3027484	6615236	102		9170
3027484	6456379	69		6194
3027484	6447593	71		6420
3027484	3020053	5		451
3027484	6612983	76		6810
3027484	6428792	56		5045
3027484	2989385	65		5811
3027484	2997535	47		4239
3027484	6442358	52		4684
3027484	3025842	47		4234
3027484	6442481	8		689
3027484	6442249	26		2327
3027484	3019468	115		10355
3027484	2978804	18		1619
3027484	3006751	49		4439
3027484	3022121	27		2442
3027484	2982175	14		1221
3027484	2972320	55		4981
3027484	2988163	98		8813
3027484	2987878	57		5149
3027484	2988722	54		4903
3027484	2985840	58		5234
3027484	3021909	64		5803
3027484	3025614	93		8365
3027484	6442318	25		2295
3027484	3021760	90		8119
3027484	2989929	112		10069
3027484	2995610	90		8077
3027484	3032251	46		4138
3027484	3023735	103		9292
3027484	2990177	25		2275
3027484	3021026	115		10309
3027484	2991474	82		7422
3027484	3024796	72		6490
3027484	2984675	86		7745
3027484	3026999	57		5138
3027484	3038381	49		4452
3027484	2994113	23		2055
3027484	3021493	107		9611
3027484	6455716	118		10647
3027484	3036862	48		4315
3027484	3020855	7		658
3027484	2978441	44		3998
3027484	3016375	52		4673
3027484	3035830	101		9111
3027484	2973329	54		4879
3027484	3018308	59		5317
3027484	6617548	7		629
3027484	6429904	104		9397
3027484	2976724	48		4315
3027484	3008300	68		6093
3027484	3038561	67		6000
3027484	3023371	24		2116
3027484	6447840	99		8946
3027484	3016356	104		9360
3027484	2982210	67		6065
3027484	2975081	47		4225
3027484	2994673	10		905
3027484	6613476	117		10487
3027484	2976721	32		2918
3027484	3022856	49		4454
3027484	6428814	72		6497
3027484	3027527	107		9616
3027484	2975538	32		2842
3027484	2974676	5		432
3027484	6447567	69		6188
3027484	2997559	97		8709
3027484	2991954	61		5502
3027484	3018097	100		9036
3027484	2981416	114		10222
3027484	2994170	114		10273
3027484	2991004	113		10189
3027484	3036942	52		4638
3027484	3021809	107		9593
3027484	6429818	111		10030
3027484	2997744	52		4645
3027484	6617511	12		1093
3027484	2996020	114		10279
3027484	3032228	23		2073
3027484	3021219	57		5105
3027484	2982001	40		3608
3027484	6428667	66		5936
3027484	2989142	5		479
3027484	3014882	109		9785
3027484	3008000	75		6743
3027484	3017416	80		7212
3027484	3032076	29		2605
3027484	2967973	37		3315
3027484	6433709	97		8706
3027484	2974522	26		2327
3027484	2976274	60		5382
3027484	6617537	6		531
3027484	2976806	65		5857
3027484	2997768	63		5644
3027484	3021839	79		7134
3027484	2976553	75		6707
3027484	6613498	61		5499
3027484	2997759	90		8083
3027484	3012174	120		10785
3027484	6447824	103		9256
3027484	6452493	8		712
3027484	6442224	42		3804
3027484	3030803	90		8094
3027484	6442484	46		4166
3027484	2970687	45		4014
3027484	2989426	73		6614
3027484	6428919	86		7695
3027484	2990203	49		4415
3027484	2982395	55		4988
3027484	6612775	43		3868
3027484	2995171	60		5379
3027484	3030314	64		5741
3027484	3023015	48		4328
3027484	3023370	54		4883
3027484	3025988	16		1404
3027484	3036957	70		6257
3027484	3026095	5		429
3027484	6613442	41		3698
3027484	6442338	34		3094
3027484	3013053	112		10078
3027484	6442392	43		3894
3027484	3008627	43		3869
3027484	2991573	75		6742
3027484	2987808	77		6968
3027484	2967847	73		6530
3027484	3018134	94		8461
3027484	2991333	102		9221
3027484	2969959	18		1643
3027484	3031340	117		10532
3027484	2981142	11		970
3027484	2972083	56		5036
3027484	6442415	24		2115
3027484	3021990	103		9271
3027484	2972723	53		4755
3027484	3025062	56		5017
