lat_departure,lon_departure,lat_arrival,lon_arrival
62.875,24.2083,62.55,24.0694,
62.9417,21.55,63,22.3167,
63,22.3167,63,22.3167,
62.7833,21.1833,63,22.3167,
62.3847,21.2222,63,22.3167,
60.15,19.95,60.15,19.95,
60.2167,19.55,60.15,19.95,
60.4117,21.0453,60.15,19.95,
60.375,19.85,60.15,19.95,
60.1333,20.6667,60.15,19.95,
59.9167,20.9,60.15,19.95,
61.2028,26.0319,61.1722,25.5472,
60.8042,25.7333,61.1722,25.5472,
61.35,25.275,61.1722,25.5472,
61.5784,26.0142,61.1722,25.5472,
60.868,25.273,61.1722,25.5472,
61.1722,25.5472,61.1722,25.5472,
