lat_departure,lon_departure,lat_arrival,lon_arrival
45.9306,6.7672,45.9222,6.8689,
44.7728,4.8431,44.735,4.5992,
44.735,4.5992,44.735,4.5992,
44.7517,4.8225,44.735,4.5992,
44.7994,4.7792,44.735,4.5992,
44.6656,4.3661,44.735,4.5992,
44.7086,4.6614,44.735,4.5992,
44.6569,4.7631,44.735,4.5992,
44.7533,4.7478,44.735,4.5992,
44.5875,4.7039,44.735,4.5992,
44.6267,4.3958,44.735,4.5992,
44.6514,4.4403,44.735,4.5992,
44.8958,4.6453,44.735,4.5992,
44.7036,4.7992,44.735,4.5992,
44.6286,4.415,44.735,4.5992,
44.7339,4.6203,44.735,4.5992,
44.7339,4.5611,44.735,4.5992,
44.7544,4.6975,44.735,4.5992,
44.7128,4.6306,44.735,4.5992,
44.6011,4.7753,44.735,4.5992,
44.555,4.5981,44.735,4.5992,
44.5817,4.7278,44.735,4.5992,
44.6094,4.7222,44.735,4.5992,
44.7475,4.6739,44.735,4.5992,
44.7125,4.7639,44.735,4.5992,
44.6119,4.4728,44.735,4.5992,
44.6506,4.7836,44.735,4.5992,
44.8214,4.5797,44.735,4.5992,
44.6614,4.7894,44.735,4.5992,
45.9833,4.7167,45.9892,4.6969,
46.1086,4.7492,45.9892,4.6969,
45.8761,4.8411,45.9892,4.6969,
45.9892,4.6969,45.9892,4.6969,
45.9356,4.7194,45.9892,4.6969,
45.9408,4.775,45.9892,4.6969,
45.8356,4.6169,45.9892,4.6969,
45.9856,4.7567,45.9892,4.6969,
45.8186,4.6631,45.9892,4.6969,
45.9344,4.8233,45.9892,4.6969,
46.1258,4.7381,45.9892,4.6969,
45.9756,4.7056,45.9892,4.6969,
46.0619,4.7217,45.9892,4.6969,
45.8758,4.7131,45.9892,4.6969,
45.8136,4.7167,45.9892,4.6969,
46.0236,4.7083,45.9892,4.6969,
46.0814,4.7586,45.9892,4.6969,
45.8369,4.7719,45.9892,4.6969,
45.9136,4.7769,45.9892,4.6969,
45.8792,4.8631,45.9892,4.6969,
45.865,4.7422,45.9892,4.6969,
45.8817,4.8019,45.9892,4.6969,
45.8653,4.8319,45.9892,4.6969,
45.8744,4.7725,45.9892,4.6969,
45.8742,4.49,45.9892,4.6969,
45.9553,4.6925,45.9892,4.6969,
45.9086,4.8303,45.9892,4.6969,
45.835,4.7114,45.9892,4.6969,
45.9206,4.5853,45.9892,4.6969,
45.8444,4.8289,45.9892,4.6969,
45.9914,4.7739,45.9892,4.6969,
45.8364,4.6525,45.9892,4.6969,
46.0194,4.7617,45.9892,4.6969,
46.0672,4.6494,45.9892,4.6969,
46.1542,4.5883,45.9892,4.6969,
45.9697,4.6642,45.9892,4.6969,
46.1622,4.6806,45.9892,4.6969,
45.8981,4.7006,45.9892,4.6969,
45.9564,4.7803,45.9892,4.6969,
45.8511,4.5833,45.9892,4.6969,
45.9733,4.8108,45.9892,4.6969,
45.9128,4.7028,45.9892,4.6969,
46.0733,4.8983,45.9892,4.6969,
45.9211,4.8808,45.9892,4.6969,
45.9983,4.9028,45.9892,4.6969,
45.9728,4.7981,45.9892,4.6969,
46.0314,4.6444,45.9892,4.6969,
46.0736,4.8086,45.9892,4.6969,
45.8531,4.6119,45.9892,4.6969,
45.8472,4.5311,45.9892,4.6969,
46.0631,4.6006,45.9892,4.6969,
45.8581,4.7131,45.9892,4.6969,
45.8419,4.8353,45.9892,4.6969,
46.0017,4.6456,45.9892,4.6969,
45.8608,4.8464,45.9892,4.6969,
46.1081,4.7797,45.9892,4.6969,
45.8897,4.7425,45.9892,4.6969,
45.945,4.7372,45.9892,4.6969,
45.9919,4.8228,45.9892,4.6969,
46.0306,4.8047,45.9892,4.6969,
45.8561,4.8,45.9892,4.6969,
46.1189,4.6164,45.9892,4.6969,
45.9397,4.6164,45.9892,4.6969,
46.0889,4.6792,45.9892,4.6969,
46.0483,4.7647,45.9892,4.6969,
45.9156,4.8253,45.9892,4.6969,
45.8375,4.8228,45.9892,4.6969,
46.0964,4.7972,45.9892,4.6969,
46.0378,4.4753,45.9892,4.6969,
45.9875,4.6247,45.9892,4.6969,
45.8703,4.8211,45.9892,4.6969,
45.9253,4.6875,45.9892,4.6969,
46.1197,4.6706,45.9892,4.6969,
46.1378,4.6414,45.9892,4.6969,
45.9606,4.8286,45.9892,4.6969,
45.8947,4.4894,45.9892,4.6969,
46.0561,4.5919,45.9892,4.6969,
45.8906,4.6683,45.9892,4.6969,
46.0625,4.4919,45.9892,4.6969,
46.1117,4.6728,45.9892,4.6969,
45.8806,4.5522,45.9892,4.6969,
45.8442,4.8531,45.9892,4.6969,
45.4347,4.3903,45.4742,4.3781,
45.4775,4.5153,45.4742,4.3781,
45.3881,4.2872,45.4742,4.3781,
45.5294,4.6169,45.4742,4.3781,
45.4994,4.24,45.4742,4.3781,
45.3961,4.325,45.4742,4.3781,
45.4339,4.3236,45.4742,4.3781,
45.5619,4.2781,45.4742,4.3781,
45.4017,4.2614,45.4742,4.3781,
45.4689,4.3544,45.4742,4.3781,
45.4031,4.3644,45.4742,4.3781,
45.4878,4.4503,45.4742,4.3781,
45.4814,4.4319,45.4742,4.3781,
45.4511,4.4464,45.4742,4.3781,
45.5375,4.1831,45.4742,4.3781,
45.4461,4.3367,45.4742,4.3781,
45.3692,4.2017,45.4742,4.3781,
45.4742,4.3781,45.4742,4.3781,
45.59,4.3172,45.4742,4.3781,
45.6386,4.3919,45.4742,4.3781,
45.5031,4.5689,45.4742,4.3781,
45.4972,4.1672,45.4742,4.3781,
45.4831,4.5744,45.4742,4.3781,
45.4864,4.5447,45.4742,4.3781,
45.5119,4.5811,45.4742,4.3781,
45.5039,4.3136,45.4742,4.3781,
45.3394,4.3128,45.4742,4.3781,
45.5233,4.2158,45.4742,4.3781,
45.5322,4.5817,45.4742,4.3781,
45.5458,4.5928,45.4742,4.3781,
45.3878,4.2661,45.4742,4.3781,
45.6322,4.4572,45.4742,4.3781,
45.5286,4.3728,45.4742,4.3781,
45.34,4.4197,45.4742,4.3781,
45.4856,4.3792,45.4742,4.3781,
45.355,4.2547,45.4742,4.3781,
45.6472,4.2983,45.4742,4.3781,
45.3378,4.2478,45.4742,4.3781,
45.5447,4.4867,45.4742,4.3781,
45.6139,4.5011,45.4742,4.3781,
45.4014,4.1833,45.4742,4.3781,
45.5781,4.3203,45.4742,4.3781,
45.5228,4.5411,45.4742,4.3781,
45.5425,4.3319,45.4742,4.3781,
45.565,4.3719,45.4742,4.3781,
45.6092,4.2614,45.4742,4.3781,
45.4425,4.155,45.4742,4.3781,
45.4853,4.3886,45.4742,4.3781,
45.4936,4.5978,45.4742,4.3781,
45.5833,4.2347,45.4742,4.3781,
45.5561,4.5344,45.4742,4.3781,
45.3136,4.3622,45.4742,4.3781,
45.5619,4.2653,45.4742,4.3781,
45.6497,4.4439,45.4742,4.3781,
45.5933,4.1981,45.4742,4.3781,
45.4158,4.5164,45.4742,4.3781,
45.3831,4.4406,45.4742,4.3781,
45.335,4.2067,45.4742,4.3781,
45.4419,4.2383,45.4742,4.3781,
45.5975,4.3619,45.4742,4.3781,
