lat_departure,lon_departure,lat_arrival,lon_arrival
-13.4388,-42.2395,-13.4215,-42.1352
-14.1269,-39.8937,-14.1269,-39.8937
-14.1615,-40.0131,-14.1269,-39.8937
-14.0131,-39.8969,-14.1269,-39.8937
-17.5195,-39.2036,-17.5195,-39.2036
-17.3364,-39.2227,-17.5195,-39.2036
-14.7089,-39.6415,-14.7089,-39.6415
-14.637,-39.5556,-14.7089,-39.6415
-11.4429,-41.439,-11.4429,-41.439
-14.6151,-41.1356,-14.6151,-41.1356
-12.8049,-41.3297,-12.8049,-41.3297
-10.3482,-39.8391,-10.3482,-39.8391
-12.0063,-44.7003,-12.0063,-44.7003
-12.1462,-39.2462,-12.1462,-39.2462
-10.3856,-38.3401,-10.3856,-38.3401
-10.5897,-38.3794,-10.3856,-38.3401
-10.3182,-38.4014,-10.3856,-38.3401
-10.3545,-38.2213,-10.3856,-38.3401
-10.5767,-40.2785,-10.5767,-40.2785
-10.5105,-40.32,-10.5767,-40.2785
-14.428,-41.4648,-14.428,-41.4648
-13.0716,-39.0038,-13.0716,-39.0038
-13.1109,-38.8939,-13.0716,-39.0038
-13.0092,-39.1092,-13.0716,-39.0038
-13.0235,-39.0108,-13.0716,-39.0038
-14.321,-39.329,-14.321,-39.329
-14.1649,-39.3787,-14.321,-39.329
-14.303,-39.3222,-14.321,-39.329
-12.3016,-44.5388,-12.3016,-44.5388
-11.9519,-40.169,-11.9519,-40.169
-10.5788,-38.6212,-10.5788,-38.6212
-11.0859,-43.1459,-11.0859,-43.1459
-14.8654,-40.5791,-14.8654,-40.5791
-11.81,-42.059,-11.81,-42.059
-11.6438,-42.0195,-11.81,-42.059
-11.5414,-41.9748,-11.81,-42.059
-14.2,-39.5991,-14.2,-39.5991
-14.2063,-39.5207,-14.2,-39.5991
-12.1439,-44.9968,-12.1439,-44.9968
-12.3572,-44.9769,-12.1439,-44.9968
-11.7605,-41.9054,-11.7605,-41.9054
-11.6858,-41.7677,-11.7605,-41.9054
-14.7948,-39.476,-14.7948,-39.476
-14.8579,-39.5914,-14.7948,-39.476
-15.8608,-38.8758,-15.8608,-38.8758
-11.6072,-38.8051,-11.6072,-38.8051
-14.3598,-40.2064,-14.3598,-40.2064
-12.6498,-40.6064,-12.6498,-40.6064
-13.2506,-43.4108,-13.2506,-43.4108
-14.3663,-40.5126,-14.3663,-40.5126
-12.7069,-41.8286,-12.7069,-41.8286
-12.8205,-42.7324,-12.8205,-42.7324
-13.3772,-42.5163,-13.3772,-42.5163
-13.3239,-42.2904,-13.3772,-42.5163
-13.5485,-42.4934,-13.3772,-42.5163
-13.1039,-39.7988,-13.1039,-39.7988
-12.4815,-43.9679,-12.4815,-43.9679
-11.9915,-42.6326,-11.9915,-42.6326
-14.2021,-41.6696,-14.2021,-41.6696
-10.7171,-43.6302,-10.7171,-43.6302
-14.9699,-40.4092,-14.9699,-40.4092
-14.3347,-40.9175,-14.3347,-40.9175
-14.0684,-42.4861,-14.0684,-42.4861
-11.6914,-41.4688,-11.6914,-41.4688
-13.4904,-39.0465,-13.4904,-39.0465
-9.52221,-43.0126,-9.52221,-43.0126
-13.0725,-44.201,-13.0725,-44.201
-12.9792,-44.0506,-13.0725,-44.201
-15.6722,-38.9536,-15.6722,-38.9536
-14.4097,-42.8667,-14.4097,-42.8667
