unit,facility,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 
NR,HBEDT,BE34	1168.00 	1168.00 	1168 b	1168 e	1168.00 	1175.00 	1175.00 	1175.00 	1175.00 	1175.00 	1175.00 	1175.00 	1175.00 	1175.00 	1175.00 	1175.00 	1175.00 	1183.00 	1186.00 	1195.00 	1204.00 	1183.00 	1183.00 	1177.00 	1183.00 	1205.00 	1203.00 	1244.00 	1290.00 
NR,HBEDT,BE35	2554.00 	2554.00 	2554 b	2554 e	2561.00 	2665.00 	2699.00 	2694.00 	2679.00 	2656.00 	2656.00 	2660.00 	2660.00 	2662.00 	2669.00 	2669.00 	2669.00 	2665.00 	2664.00 	2664.00 	2724.00 	2808.00 	2689.00 	2698.00 	2698.00 	2708.00 	2762.00 	2756.00 	2760.00 
NR,HBEDT,BG	: 	54216.00 	53997.00 	53173.00 	52744.00 	51816.00 	51933.00 	51505.00 	49522.00 	48308.00 	47391.00 	48934.00 	50041.00 	49507.00 	48749.00 	47719.00 	49626.00 	47709.00 	49171.00 	51030.00 	56984.00 	60552.00 	61535.00 	69422.00 	85408.00 	87549.00 	87148.00 	86092.00 	88910.00 
NR,HBEDT,BG31	: 	5899.00 	5828.00 	5779.00 	5867.00 	5582.00 	5676.00 	5507.00 	5436.00 	5292.00 	5383.00 	5441.00 	5756.00 	5608.00 	5652.00 	5388.00 	5607.00 	5573.00 	5539.00 	5714.00 	6970.00 	7637.00 	8158.00 	9236.00 	11776.00 	12404.00 	12426.00 	12440.00 	12569.00 
NR,HBEDT,BG32	: 	5367.00 	5250.00 	5213.00 	5165.00 	5151.00 	5347.00 	5202.00 	5136.00 	4886.00 	4941.00 	5219.00 	5593.00 	5548.00 	5473.00 	5363.00 	5500.00 	5468.00 	5464.00 	5587.00 	6433.00 	6976.00 	7708.00 	8562.00 	10798.00 	11445.00 	11585.00 	11746.00 	12054.00 
NR,HBEDT,BG33	: 	4936.00 	4972.00 	4932.00 	4792.00 	4713.00 	4908.00 	4697.00 	4575.00 	4490.00 	4617.00 	4643.00 	4905.00 	4762.00 	4771.00 	4786.00 	5011.00 	5211.00 	5380.00 	5555.00 	6365.00 	6585.00 	7353.00 	8172.00 	10097.00 	10479.00 	10532.00 	10498.00 	10728.00 
NR,HBEDT,BG34	: 	6838.00 	6890.00 	6805.00 	6844.00 	6733.00 	6485.00 	6812.00 	6466.00 	6147.00 	6066.00 	6634.00 	6998.00 	6846.00 	6648.00 	6474.00 	6653.00 	6692.00 	6767.00 	6875.00 	8145.00 	8650.00 	8160.00 	8776.00 	11340.00 	11791.00 	11762.00 	11413.00 	11948.00 
NR,HBEDT,BG41	: 	15866.00 	15513.00 	15036.00 	14805.00 	14634.00 	14781.00 	14626.00 	13928.00 	13789.00 	13537.00 	14107.00 	14630.00 	14548.00 	14002.00 	13640.00 	14057.00 	14096.00 	14391.00 	14729.00 	16372.00 	17425.00 	16541.00 	19081.00 	21667.00 	21990.00 	22207.00 	21701.00 	22287.00 
NR,HBEDT,BG42	: 	11730.00 	11616.00 	11653.00 	11614.00 	11308.00 	11131.00 	10913.00 	10246.00 	9999.00 	9620.00 	9840.00 	10113.00 	9718.00 	9251.00 	9108.00 	9273.00 	9139.00 	9155.00 	9400.00 	10664.00 	10814.00 	10773.00 	11463.00 	15425.00 	16117.00 	15786.00 	15786.00 	15875.00 
NR,HBEDT,CH	: 	38705.00 	39390.00 	39401.00 	39330.00 	39254.00 	39176.00 	38764.00 	39232.00 	39783.00 	39937.00 	40638 b	39527.00 	39852.00 	40475.00 	40347.00 	41196.00 	41897.00 	42742.00 	43308.00 	43643.00 	45170.00 	47209.00 	47119.00 	: 	: 	: 	: 	: 
NR,HBEDT,CH01	: 	7976.00 	8265.00 	8281.00 	8305.00 	8279.00 	8250.00 	8123.00 	8003.00 	8230.00 	8088.00 	7936 b	7719.00 	7826.00 	7853.00 	7930.00 	8209.00 	8248.00 	8354.00 	8387.00 	8339.00 	8462.00 	8123.00 	8371.00 	: 	: 	: 	: 	: 
NR,HBEDT,CH02	: 	7784.00 	8019.00 	8025.00 	7885.00 	7944.00 	7983.00 	7670.00 	8078.00 	8143.00 	8190.00 	8300 b	8044.00 	8118.00 	8176.00 	8319.00 	8440.00 	8553.00 	8541.00 	8788.00 	8931.00 	9201.00 	10416.00 	10593.00 	: 	: 	: 	: 	: 
NR,HBEDT,CH03	: 	6261.00 	6316.00 	6232.00 	6209.00 	6128.00 	6168.00 	6310.00 	6290.00 	6451.00 	6400.00 	6551 b	6461.00 	6471.00 	6371.00 	6691.00 	6774.00 	7002.00 	7164.00 	7237.00 	7196.00 	7324.00 	7719.00 	7245.00 	: 	: 	: 	: 	: 
NR,HBEDT,CH04	: 	6117.00 	6281.00 	6253.00 	6391.00 	6289.00 	6366.00 	6310.00 	6297.00 	6464.00 	6482.00 	6656 b	6908.00 	6978.00 	6941.00 	6991.00 	7266.00 	7358.00 	7517.00 	7607.00 	7608.00 	8034.00 	8225.00 	8333.00 	: 	: 	: 	: 	: 
NR,HBEDT,CH05	: 	5916.00 	5880.00 	5952.00 	5911.00 	6049.00 	5929.00 	5915.00 	6083.00 	6081.00 	6306.00 	6612 b	5945.00 	6010.00 	6618.00 	5834.00 	5912.00 	6075.00 	6470.00 	6425.00 	6670.00 	7063.00 	7215.00 	7119.00 	: 	: 	: 	: 	: 
NR,HBEDT,CH06	: 	2728.00 	2696.00 	2702.00 	2673.00 	2637.00 	2576.00 	2531.00 	2580.00 	2546.00 	2613.00 	2636 b	2562.00 	2565.00 	2591.00 	2600.00 	2613.00 	2627.00 	2598.00 	2621.00 	2651.00 	2757.00 	3028.00 	2952.00 	: 	: 	: 	: 	: 
NR,HBEDT,CH07	: 	1923.00 	1933.00 	1956.00 	1956.00 	1928.00 	1904.00 	1905.00 	1901.00 	1868.00 	1858.00 	1947 b	1888.00 	1884.00 	1925.00 	1982.00 	1982.00 	2034.00 	2098.00 	2243.00 	2248.00 	2329.00 	2483.00 	2506.00 	: 	: 	: 	: 	: 
NR,HBEDT,CY	: 	: 	2747.00 	2769.00 	2833.00 	2918.00 	2895.00 	2912.00 	2938.00 	2990.00 	2988.00 	2958.00 	3040.00 	2977.00 	2916.00 	2856.00 	2842.00 	: 	: 	: 	: 	3139.00 	: 	: 	: 	: 	3298.00 	: 	3270.00 
NR,HBEDT,CY00	: 	: 	2747.00 	2769.00 	2833.00 	2918.00 	2895.00 	2912.00 	2938.00 	2990.00 	2988.00 	2958.00 	3040.00 	2977.00 	2916.00 	2856.00 	2842.00 	: 	: 	: 	: 	3139.00 	: 	: 	: 	: 	3298.00 	: 	3270.00 
NR,HBEDT,CZ	: 	69490.00 	70225.00 	70351.00 	70214.00 	70419.00 	70313.00 	70270.00 	70462.00 	72842.00 	74136.00 	76413 b	74607.00 	74924.00 	75502.00 	76245.00 	77309.00 	78004.00 	78825.00 	79177.00 	79354.00 	79985 b	79551.00 	81673.00 	82835.00 	85246.00 	87784.00 	: 	: 
NR,HBEDT,CZ01	: 	10565.00 	10758.00 	10805.00 	10840.00 	10871.00 	10892.00 	10801.00 	10747.00 	11145.00 	11413.00 	11882 b	11406.00 	11543.00 	11562.00 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT,CZ02	: 	6798.00 	6841.00 	6919.00 	6832.00 	6864.00 	6820.00 	6817.00 	6838.00 	7192.00 	7160.00 	7344 b	7135.00 	6906.00 	6894.00 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT,CZ03	: 	8152.00 	8235.00 	8031.00 	7988.00 	8066.00 	8176.00 	8188.00 	8216.00 	8565.00 	8634.00 	8897 b	8592.00 	8535.00 	8648.00 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT,CZ04	: 	6861.00 	6930.00 	6999.00 	7069.00 	7051.00 	6961.00 	6985.00 	7020.00 	7186.00 	7332.00 	7535 b	7599.00 	7605.00 	7660.00 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT,CZ05	: 	9426.00 	9566.00 	9623.00 	9591.00 	9651.00 	9665.00 	9677.00 	9700.00 	9833.00 	9960.00 	10179 b	10286.00 	10132.00 	10203.00 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT,CZ06	: 	11934.00 	11970.00 	12087.00 	11969.00 	11912.00 	11820.00 	11839.00 	11905.00 	12400.00 	12579.00 	13093 b	12875.00 	12997.00 	13074.00 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT,CZ07	: 	7669.00 	7719.00 	7711.00 	7722.00 	7740.00 	7732.00 	7803.00 	7866.00 	8243.00 	8482.00 	8639 b	8405.00 	8531.00 	8602.00 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT,CZ08	: 	8085.00 	8206.00 	8176.00 	8203.00 	8264.00 	8247.00 	8160.00 	8170.00 	8278.00 	8576.00 	8844 b	8309.00 	8675.00 	8859.00 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT,DE	: 	650167.00 	657662.00 	661880.00 	661448.00 	663941.00 	664364.00 	666337.00 	667560.00 	670443.00 	672573.00 	674473.00 	674830.00 	674420.00 	677799.00 	683484.00 	698303.00 	707806.00 	721690.00 	731919.00 	741933.00 	749473.00 	754865.00 	762596.00 	769294.00 	783631.00 	790756.00 	790851.00 	784289.00 
NR,HBEDT,DE1	: 	: 	81189.00 	81481.00 	81500.00 	81645.00 	81920.00 	82252.00 	82688.00 	82922.00 	83477.00 	85003.00 	85427.00 	86073.00 	86784.00 	88313.00 	89135.00 	91000.00 	93340.00 	95385.00 	96875.00 	96886.00 	96275.00 	97870.00 	98072.00 	99410.00 	98783.00 	98964.00 	98155.00 
NR,HBEDT,DE2	: 	: 	105409.00 	105789.00 	105701.00 	105922.00 	105290.00 	105767.00 	106030.00 	106582.00 	107192.00 	107291.00 	107528.00 	107294.00 	107887.00 	107460.00 	112705.00 	112277.00 	114710.00 	116976.00 	119194.00 	120083.00 	120755.00 	121858.00 	122868.00 	123503.00 	123098.00 	122444.00 	120436.00 
NR,HBEDT,DE3	: 	: 	21078.00 	21016.00 	20834.00 	20605.00 	20561.00 	20657.00 	20706.00 	20769.00 	20545.00 	20403.00 	20284.00 	19747.00 	19965.00 	20177.00 	20679.00 	20838.00 	21298.00 	21711.00 	22927.00 	23594.00 	24477.00 	25417.00 	26776.00 	29204.00 	34166.00 	35955.00 	37126.00 
NR,HBEDT,DE4	: 	: 	20499.00 	20712.00 	20669.00 	20587.00 	20563.00 	20524.00 	20515.00 	20655.00 	20579.00 	20659.00 	20613.00 	20411.00 	20646.00 	20746.00 	20989.00 	21116.00 	21289.00 	21769.00 	21797.00 	21917.00 	21835.00 	22270.00 	22074.00 	21811.00 	20897.00 	20730.00 	19477.00 
NR,HBEDT,DE5	: 	: 	5494.00 	5418.00 	5375.00 	5568.00 	5458.00 	5521.00 	5359.00 	5340.00 	5324.00 	5314.00 	5341.00 	5426.00 	5524.00 	5716.00 	5754.00 	5967.00 	5971.00 	6102.00 	6150.00 	6375.00 	6460.00 	6559.00 	6675.00 	6783.00 	7055.00 	7196.00 	7324.00 
NR,HBEDT,DE6	: 	: 	13166.00 	13083.00 	12920.00 	12931.00 	12791.00 	12483.00 	12471.00 	12428.00 	12273.00 	11988.00 	11799.00 	11426.00 	12029.00 	11954.00 	11502.00 	11848.00 	12197.00 	12503.00 	12732.00 	13140.00 	13650.00 	13742.00 	14031.00 	14707.00 	14563.00 	14904.00 	15021.00 
NR,HBEDT,DE7	: 	: 	51699.00 	51685.00 	52218.00 	52182.00 	52352.00 	52124.00 	52550.00 	52930.00 	52899.00 	52957.00 	52758.00 	52406.00 	52451.00 	52749.00 	54911.00 	55019.00 	57056.00 	57827.00 	58501.00 	60200.00 	61362.00 	62265.00 	62952.00 	65230.00 	65913.00 	66586.00 	66377.00 
NR,HBEDT,DE8	: 	: 	20565.00 	20575.00 	20705.00 	20674.00 	20900.00 	20906.00 	20802.00 	20820.00 	20854.00 	20884.00 	20767.00 	21028.00 	20942.00 	20774.00 	20964.00 	21253.00 	21559.00 	21707.00 	21973.00 	21962.00 	22386.00 	21251.00 	19297.00 	18832.00 	18145.00 	17660.00 	16803.00 
NR,HBEDT,DE9	: 	: 	58579.00 	59132.00 	59348.00 	59235.00 	59592.00 	59639.00 	59962.00 	59829.00 	60221.00 	60128.00 	59648.00 	59678.00 	59544.00 	60505.00 	61942.00 	63882.00 	65655.00 	66554.00 	67366.00 	67491.00 	68085.00 	69113.00 	69629.00 	71318.00 	73607.00 	72599.00 	70880.00 
NR,HBEDT,DEA	: 	: 	138141.00 	139995.00 	139033.00 	140344.00 	140637.00 	140857.00 	140781.00 	141770.00 	142305.00 	142606.00 	143082.00 	143219.00 	144061.00 	145449.00 	147794.00 	150935.00 	153554.00 	154890.00 	156102.00 	157281.00 	157796.00 	159271.00 	163285.00 	168805.00 	171806.00 	172958.00 	171283.00 
NR,HBEDT,DEB	: 	: 	31570.00 	31670.00 	32376.00 	32772.00 	32648.00 	32988.00 	33060.00 	33353.00 	33301.00 	33446.00 	33570.00 	33628.00 	33633.00 	33756.00 	33732.00 	34173.00 	34278.00 	34964.00 	35210.00 	35693.00 	36327.00 	36435.00 	37243.00 	37771.00 	37983.00 	37819.00 	37822.00 
NR,HBEDT,DEC	: 	: 	9360.00 	9340.00 	9241.00 	9166.00 	9164.00 	9307.00 	9248.00 	9395.00 	9519.00 	9622.00 	9750.00 	9708.00 	9856.00 	10360.00 	10363.00 	10500.00 	10679.00 	10784.00 	10908.00 	11422.00 	11500.00 	11448.00 	11709.00 	11927.00 	11699.00 	11845.00 	11743.00 
NR,HBEDT,DED	: 	: 	34411.00 	35031.00 	34651.00 	34659.00 	34484.00 	34996.00 	35302.00 	35196.00 	35296.00 	35156.00 	35467.00 	35435.00 	35483.00 	35908.00 	36589.00 	37489.00 	38200.00 	38247.00 	38547.00 	38600.00 	38933.00 	38670.00 	38747.00 	38588.00 	38493.00 	37420.00 	36679.00 
NR,HBEDT,DEE	: 	: 	18869.00 	19142.00 	19452.00 	19584.00 	19645.00 	19797.00 	19908.00 	19874.00 	19963.00 	20105.00 	20077.00 	20209.00 	20332.00 	20511.00 	20792.00 	20995.00 	21111.00 	21428.00 	21640.00 	21873.00 	22060.00 	22152.00 	21868.00 	22640.00 	21804.00 	22441.00 	24161.00 
NR,HBEDT,DEF	: 	: 	26342.00 	26351.00 	25964.00 	26457.00 	26598.00 	26526.00 	26128.00 	26457.00 	26504.00 	26752.00 	26563.00 	26620.00 	26542.00 	26820.00 	27586.00 	27449.00 	27574.00 	27621.00 	28103.00 	28554.00 	28408.00 	29053.00 	28717.00 	28362.00 	28577.00 	27572.00 	27210.00 
NR,HBEDT,DEG	: 	: 	21291.00 	21460.00 	21461.00 	21610.00 	21761.00 	21993.00 	22050.00 	22123.00 	22321.00 	22159.00 	22156.00 	22112.00 	22120.00 	22286.00 	22866.00 	23065.00 	23219.00 	23451.00 	23908.00 	24402.00 	24556.00 	25222.00 	25351.00 	24740.00 	24167.00 	23758.00 	23792.00 
NR,HBEDT,DK	14716 p	15089.00 	15076.00 	0.00 	15037.00 	14871 e	14380 e	15174 be	17241.00 	: 	17433 b	19405.00 	19296.00 	19615.00 	20159.00 	20613.00 	20902.00 	21462.00 	22281.00 	23040.00 	22604.00 	22927.00 	23352.00 	24082.00 	24538.00 	: 	: 	: 	: 
NR,HBEDT,DK01	5436 p	5539.00 	5478.00 	5502.00 	5567.00 	5743 e	4434 e	4418 be	5933.00 	: 	6065 b	7744.00 	6859.00 	6957.00 	7117.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT,DK02	2254 p	2316.00 	2308.00 	2348.00 	2457.00 	2359 e	2540 e	2539 be	2596.00 	: 	2623 b	2446.00 	2748.00 	2679.00 	2790.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT,DK03	2912 p	3062.00 	3090.00 	2972.00 	2793.00 	2681 e	2798 e	3529 be	3566.00 	: 	3655 b	3675.00 	3855.00 	3936.00 	4101.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT,DK04	2894 p	2871.00 	2871.00 	2961.00 	2886.00 	2805 e	3118 e	3075 be	3524.00 	: 	3314 b	3720.00 	3941.00 	4118.00 	4186.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT,DK05	1220 p	1301.00 	1329.00 	1348.00 	1334.00 	1283 e	1490 e	1613 be	1622.00 	: 	1776 b	1820.00 	1893.00 	1925.00 	1965.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HBEDT,EE	: 	: 	6011.00 	5995.00 	6068.00 	6166.00 	6342.00 	6439.00 	6462.00 b	7309.00 	7114.00 	7022.00 	7166.00 	7530.00 	7349.00 	7476.00 	7292.00 	7690.00 	7857.00 	8248.00 	9160.00 	9828.00 	10358.00 	10509.00 	10794.00 	11184.00 	11994.00 	12521.00 	14377.00 
NR,HBEDT,EE00	: 	: 	6011.00 	5995.00 	6068.00 	6166.00 	6342.00 	6439.00 	6462.00 b	7309.00 	7114.00 	7022.00 	7166.00 	7530.00 	7349.00 	7476.00 	7292.00 	7690.00 	7857.00 	8248.00 	9160.00 	9828.00 	10358.00 	10509.00 	10794.00 	11184.00 	11994.00 	12521.00 	14377.00 
NR,HBEDT,EL	: 	: 	44817.00 	45053.00 	45267.00 	45273.00 	45945.00 	46160.00 	46510.00 	49100.00 	49692.00 	49828.00 	54704.00 	53652.00 	53888.00 	53701.00 	52511.00 	51871.00 	51762.00 	51781.00 	52276.00 	51500.00 	51404.00 	52495.00 	52474.00 	52586.00 	52227.00 	51788.00 	52144.00 
NR,HBEDT,EL11	: 	: 	: 	: 	: 	: 	: 	2466.00 	2334.00 	2251.00 	2272.00 	2108.00 	2253.00 	2327.00 	2297.00 	2305.00 	2271.00 	2148.00 	2033.00 	1984.00 	1958.00 	1999.00 	1889.00 	1898.00 	1897.00 	1911.00 	1805.00 	1700.00 	1800.00 
NR,HBEDT,EL12	: 	: 	: 	: 	: 	: 	: 	8198.00 	8380.00 	9040.00 	9332.00 	9248.00 	10447.00 	10402.00 	10172.00 	10031.00 	10058.00 	9899.00 	9937.00 	9728.00 	10029.00 	10081.00 	9496.00 	9547.00 	9503.00 	9486.00 	9618.00 	9510.00 	9500.00 
NR,HBEDT,EL13	: 	: 	: 	: 	: 	: 	: 	1173.00 	1169.00 	1242.00 	1190.00 	1168.00 	1286.00 	1276.00 	1254.00 	1296.00 	1281.00 	1232.00 	1236.00 	1135.00 	1130.00 	1168.00 	1153.00 	1175.00 	1165.00 	1119.00 	1134.00 	1100.00 	1100.00 
NR,HBEDT,EL14	: 	: 	: 	: 	: 	: 	: 	3812.00 	3750.00 	3768.00 	4045.00 	3863.00 	4094.00 	3957.00 	3808.00 	3931.00 	3276.00 	3381.00 	3236.00 	3066.00 	3004.00 	2926.00 	2740.00 	2679.00 	2585.00 	2525.00 	2493.00 	2500.00 	2500.00 
NR,HBEDT,EL21	: 	: 	: 	: 	: 	: 	: 	1420.00 	1470.00 	1627.00 	1585.00 	1584.00 	1703.00 	1702.00 	1634.00 	1670.00 	1678.00 	1535.00 	1418.00 	1411.00 	1514.00 	1442.00 	1447.00 	1427.00 	1428.00 	1375.00 	1374.00 	1400.00 	1400.00 
NR,HBEDT,EL22	: 	: 	: 	: 	: 	: 	: 	558.00 	548.00 	545.00 	546.00 	658.00 	753.00 	749.00 	1098.00 	978.00 	983.00 	987.00 	979.00 	987.00 	968.00 	942.00 	949.00 	949.00 	959.00 	977.00 	981.00 	1000.00 	1000.00 
NR,HBEDT,EL23	: 	: 	: 	: 	: 	: 	: 	2012.00 	2186.00 	2122.00 	2073.00 	1935.00 	2316.00 	2304.00 	2322.00 	2252.00 	2222.00 	2105.00 	2192.00 	2221.00 	2259.00 	2225.00 	2235.00 	2178.00 	2131.00 	2062.00 	2087.00 	2000.00 	2100.00 
NR,HBEDT,EL24	: 	: 	: 	: 	: 	: 	: 	953.00 	922.00 	977.00 	948.00 	976.00 	1050.00 	1044.00 	1051.00 	1062.00 	997.00 	1030.00 	992.00 	983.00 	1021.00 	1024.00 	996.00 	1059.00 	1037.00 	1079.00 	1092.00 	1000.00 	1100.00 
NR,HBEDT,EL25	: 	: 	: 	: 	: 	: 	: 	1403.00 	1407.00 	1427.00 	1411.00 	1712.00 	1862.00 	1793.00 	1828.00 	1813.00 	1825.00 	1722.00 	1711.00 	1656.00 	1680.00 	1695.00 	1714.00 	1742.00 	1731.00 	1727.00 	1725.00 	1700.00 	1800.00 
NR,HBEDT,EL30	: 	: 	18742.00 	18982.00 	19040.00 	19184.00 	19491.00 	19991.00 	20287.00 	22045.00 	22036.00 	21862.00 	23863.00 	23283.00 	23499.00 	23401.00 	23113.00 	23189.00 	23159.00 	23628.00 	23696.00 	22979.00 	23810.00 	24874.00 	25079.00 	25312.00 	24800.00 	24878.00 	24944.00 
NR,HBEDT,EL41	: 	: 	624.00 	624.00 	630.00 	621.00 	621.00 	623.00 	634.00 	603.00 	646.00 	659.00 	691.00 	689.00 	674.00 	663.00 	624.00 	636.00 	641.00 	621.00 	628.00 	613.00 	604.00 	601.00 	600.00 	602.00 	594.00 	600.00 	600.00 
NR,HBEDT,EL42	: 	: 	1090.00 	1106.00 	1057.00 	1015.00 	1018.00 	1075.00 	1007.00 	1008.00 	1043.00 	1484.00 	1493.00 	1258.00 	1428.00 	1458.00 	1317.00 	1095.00 	1198.00 	1306.00 	1400.00 	1396.00 	1382.00 	1387.00 	1393.00 	1464.00 	1574.00 	1600.00 	1600.00 
NR,HBEDT,EL43	: 	: 	2424.00 	2392.00 	2416.00 	2397.00 	2379.00 	2476.00 	2416.00 	2445.00 	2565.00 	2571.00 	2893.00 	2868.00 	2823.00 	2841.00 	2866.00 	2912.00 	3030.00 	3055.00 	2989.00 	3010.00 	2989.00 	2979.00 	2966.00 	2947.00 	2950.00 	2800.00 	2700.00 
NR,HBEDT,EL51	: 	: 	2433.00 	2423.00 	2420.00 	2449.00 	2443.00 	2466.00 	2334.00 	2251.00 	2272.00 	2108.00 	2253.00 	2327.00 	2297.00 	2305.00 	2271.00 	2148.00 	2033.00 	1984.00 	1958.00 	1999.00 	1889.00 	1898.00 	1897.00 	1911.00 	1805.00 	1700.00 	1800.00 
NR,HBEDT,EL52	: 	: 	8248.00 	8447.00 	8466.00 	8533.00 	8446.00 	8198.00 	8380.00 	9040.00 	9332.00 	9248.00 	10447.00 	10402.00 	10172.00 	10031.00 	10058.00 	9899.00 	9937.00 	9728.00 	10029.00 	10081.00 	9496.00 	9547.00 	9503.00 	9486.00 	9618.00 	9510.00 	9500.00 
NR,HBEDT,EL53	: 	: 	1133.00 	1079.00 	1101.00 	1137.00 	1164.00 	1173.00 	1169.00 	1242.00 	1190.00 	1168.00 	1286.00 	1276.00 	1254.00 	1296.00 	1281.00 	1232.00 	1236.00 	1135.00 	1130.00 	1168.00 	1153.00 	1175.00 	1165.00 	1119.00 	1134.00 	1100.00 	1100.00 
NR,HBEDT,EL54	: 	: 	1541.00 	1459.00 	1439.00 	1438.00 	1438.00 	1420.00 	1470.00 	1627.00 	1585.00 	1584.00 	1703.00 	1702.00 	1634.00 	1670.00 	1678.00 	1535.00 	1418.00 	1411.00 	1514.00 	1442.00 	1447.00 	1427.00 	1428.00 	1375.00 	1374.00 	1400.00 	1400.00 
NR,HBEDT,EL61	: 	: 	3918.00 	3845.00 	3953.00 	3747.00 	3968.00 	3812.00 	3750.00 	3768.00 	4045.00 	3863.00 	4094.00 	3957.00 	3808.00 	3931.00 	3276.00 	3381.00 	3236.00 	3066.00 	3004.00 	2926.00 	2740.00 	2679.00 	2585.00 	2525.00 	2493.00 	2500.00 	2500.00 
NR,HBEDT,EL62	: 	: 	605.00 	609.00 	601.00 	551.00 	566.00 	558.00 	548.00 	545.00 	546.00 	658.00 	753.00 	749.00 	1098.00 	978.00 	983.00 	987.00 	979.00 	987.00 	968.00 	942.00 	949.00 	949.00 	959.00 	977.00 	981.00 	1000.00 	1000.00 
NR,HBEDT,EL63	: 	: 	1949.00 	1950.00 	1998.00 	2051.00 	2087.00 	2012.00 	2186.00 	2122.00 	2073.00 	1935.00 	2316.00 	2304.00 	2322.00 	2252.00 	2222.00 	2105.00 	2192.00 	2221.00 	2259.00 	2225.00 	2235.00 	2178.00 	2131.00 	2062.00 	2087.00 	2000.00 	2100.00 
NR,HBEDT,EL64	: 	: 	862.00 	879.00 	880.00 	868.00 	955.00 	953.00 	922.00 	977.00 	948.00 	976.00 	1050.00 	1044.00 	1051.00 	1062.00 	997.00 	1030.00 	992.00 	983.00 	1021.00 	1024.00 	996.00 	1059.00 	1037.00 	1079.00 	1092.00 	1000.00 	1100.00 
NR,HBEDT,EL65	: 	: 	1248.00 	1258.00 	1266.00 	1282.00 	1369.00 	1403.00 	1407.00 	1427.00 	1411.00 	1712.00 	1862.00 	1793.00 	1828.00 	1813.00 	1825.00 	1722.00 	1711.00 	1656.00 	1680.00 	1695.00 	1714.00 	1742.00 	1731.00 	1727.00 	1725.00 	1700.00 	1800.00 
NR,HBEDT,ES	: 	139933 p	138861.00 	139061.00 	138581.00 	137867.00 	138368.00 	137877.00 	138153.00 	139895.00 	142394.00 	144951.00 	146310.00 	146934.00 	146840.00 	146241.00 	145863.00 	145877.00 	144916.00 	146104.00 	146369.00 	148081.00 	149646.00 	150010.00 	151345.00 	153433.00 	154644.00 	157433.00 	158944.00 
NR,HBEDT,ES11	: 	8928 p	8906.00 	8975.00 	9005.00 	9045.00 	9126.00 	9072.00 	9259.00 	9610.00 	9508.00 	9904.00 	9863.00 	9919.00 	9901.00 	9886.00 	9836.00 	9928.00 	9557.00 	9664.00 	9835.00 	9923.00 	10029.00 	10239.00 	10348.00 	10570.00 	10719.00 	10797.00 	10903.00 
NR,HBEDT,ES12	: 	3538 p	3529.00 	3484.00 	3479.00 	3403.00 	3409.00 	3421.00 	3516.00 	3561.00 	3579.00 	3661.00 	3751.00 	3771.00 	3839.00 	3838.00 	3838.00 	3783.00 	3879.00 	3995.00 	3834.00 	4089.00 	4009.00 	4026.00 	4110.00 	4127.00 	4052.00 	4149.00 	4264.00 
NR,HBEDT,ES13	: 	2029 p	1911.00 	1906.00 	1897.00 	1914.00 	1927.00 	1901.00 	1861.00 	1888.00 	1905.00 	1970.00 	2034.00 	2070.00 	2110.00 	2039.00 	2091.00 	2069.00 	2088.00 	2076.00 	2078.00 	2030.00 	2100.00 	2205.00 	2230.00 	2268.00 	2231.00 	2213.00 	2232.00 
NR,HBEDT,ES21	: 	7270 p	7112.00 	7010.00 	7148.00 	7152.00 	7248.00 	7299.00 	7381.00 	7627.00 	7718.00 	7896.00 	7916.00 	8018.00 	8048.00 	8049.00 	8118.00 	8016.00 	7985.00 	8110.00 	8111.00 	8206.00 	8335.00 	8334.00 	8403.00 	8692.00 	8759.00 	8983.00 	9500.00 
