unit,facility,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 
HAB_P,HBEDI_PSY,CH01	: 	: 	: 	: 	: 	: 	1401.43 	1478.37 	1324.55 	1438.01 	1451.50 	1427.27 b	1365.26 	1336.33 	1300.55 	1545.42 	1535.35 	1533.29 	1554.08 	1243.26 	1277.92 	1253.74 	1235.61 	1251.54 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CH02	: 	: 	: 	: 	: 	: 	1095.08 	1078.56 	1046.94 	1019.25 	975.15 	960.88 b	1004.73 	989.15 	964.95 	960.59 	941.78 	937.09 	929.82 	925.30 	883.54 	841.29 	859.95 	823.13 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CH03	: 	: 	: 	: 	: 	: 	892.64 	928.73 	931.94 	948.13 	990.21 	949.90 b	1010.67 	995.92 	1050.27 	1051.25 	1026.29 	1015.47 	997.62 	996.67 	984.10 	950.87 	982.77 	1016.60 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CH04	: 	: 	: 	: 	: 	: 	1041.77 	1033.80 	1028.34 	1036.63 	1017.46 	883.39 b	807.47 	774.73 	749.89 	720.99 	622.70 	623.87 	608.20 	603.78 	573.24 	512.59 	529.09 	530.50 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CH05	: 	: 	: 	: 	: 	: 	870.48 	867.33 	874.01 	861.28 	898.53 	883.38 b	805.58 	791.64 	780.71 	771.81 	769.19 	753.06 	755.44 	763.68 	777.43 	755.14 	723.89 	731.59 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CH06	: 	: 	: 	: 	: 	: 	1475.45 	1550.30 	1423.29 	1415.83 	1405.81 	1443.00 b	1478.79 	1491.89 	1475.09 	1451.42 	1441.09 	1431.38 	1445.52 	1512.90 	1419.10 	1306.94 	1214.33 	1415.61 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CH07	: 	: 	: 	: 	: 	: 	1182.34 	1197.43 	1182.46 	1161.98 	1152.40 	1150.30 b	1261.24 	1247.77 	1171.02 	1159.73 	1150.91 	1142.02 	1133.64 	1125.06 	1116.03 	1074.15 	844.34 	796.57 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CY	: 	: 	: 	: 	: 	: 	4557.33 	4583.35 	4634.08 	4363.36 	4675.17 	4388.60 	3922.50 	3818.60 	3723.91 	3645.46 	3183.36 	3178.95 	3096.15 	2667.78 	2637.38 	1977.27 	1826.28 	1805.95 	1644.03 	1148.13 	1043.05 	1024.31 	940.07 
HAB_P,HBEDI_PSY,CY00	: 	: 	: 	: 	: 	: 	4557.33 	4583.35 	4634.08 	4363.36 	4675.17 	4388.60 	3922.50 	3818.60 	3723.91 	3645.46 	3183.36 	3178.95 	3096.15 	2667.78 	2637.38 	1977.27 	1826.28 	1805.95 	1644.03 	1148.13 	1043.05 	1024.31 	940.07 
HAB_P,HBEDI_PSY,CZ	: 	: 	: 	: 	: 	: 	1033.22 	1034.74 d	1038.65 	1014.85 	991.88 	979.65 	962.57 	949.58 	932.36 	915.66 	903.89 	890.42 	886.90 	879.73 	873.74 	883.37 b	886.16 	882.73 	876.35 	877.74 	874.15 	: 	: 
