unit,age,sex,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
NR,TOTAL,M,EU28	: 	: 	948571 e	933195 e	928994 e	925136 e	920891 e	925440 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,FI	: 	: 	: 	7445 	7395 	7312 	7376 	7333 	7199 	7121 	7132 	7071 	7018 	6982 	6917 	6852 	6843 	6736 b	7356 	7364 	7350 	7412 	7289 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,FR	: 	113907 	114967 	115059 	116669 	117533 	118394 	119174 	119976 	120260 	120676 b	125544 	125832 b	128050 	128463 	129312 	129454 	129279 	128532 	128076 	127012 	125717 	125322 	124923 	124374 	124245 	124421 	124455 	125198 	124959 	123761 	122565 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,HR	: 	5192 	5210 	5149 	5107 	5030 	5052 	5050 	4960 	4963 	4900 	4896 	4775 b	4823 	4876 	4705 	4701 	4715 	4663 	4616 	4642 	4644 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,HU	: 	13045 b	14994 	14521 	14282 	13880 	13451 b	14906 	14420 	13969 	13479 	13130 b	14390 	14794 b	13359 b	14921 	13630 b	16509 b	18581 	18123 b	16345 e	15318 be	18102 	18025 	17753 	17606 	17411 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,IE	10797 b	9374 	8994 	8845 	8783 	8591 	8332 	8057 b	10666 	10617 	11389 	11524 	11288 	11180 	10726 	9986 b	: 	7064 	6489 	5947 	5812 	5356 	5448 	5298 	5167 	5089 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,IS	: 	: 	834 	829 	817 	818 b	782 	759 	754 	746 	746 	773 	789 	797 	800 	800 	796 b	789 	792 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,IT	135080 p	132044 	136093 	137041 	139294 	140303 	138143 	140851 	141497 	139825 b	235059 	233129 	232746 	233487 	233086 	231699 	231605 	233738 e	230298 e	227712 e	225732 e	223918 be	238966 	238231 	237426 	235598 	235424 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,LI	94 	96 	100 	97 	94 	86 	84 	88 	88 	88 	83 	79 b	67 d	64 d	60 d	60 d	60 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,LT	: 	3666 e	3736 e	3759 be	4207 e	4141 e	4085 e	4095 e	4120 e	4129 e	4074 e	3952 e	3989 e	4043 e	4152 be	4488 	4334 	4234 	4142 	4083 	4054 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,LU	: 	: 	: 	: 	1146 	1102 	1093 	1063 	1041 	1026 	1002 	995 	974 	962 	930 	909 	883 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
