unit,age,sex,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
NR,Y35-44,M,EL	: 	8613 	9125 	9718 	10330 	11287 	12044 	12408 	12227 	12144 	12014 	10646 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10809 	10514 	10342 	10245 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,ES	: 	18867 	17533 	14700 	14733 	17200 	19500 	19933 	19467 	18400 	17700 	16533 	15300 	15433 	15900 	17900 	19300 	22033 	23067 	24367 	27467 	30233 	31733 	30633 	31500 	31000 	: 	: 	: 	: 	: 	18300 	: 	: 	: 	: 	12300 	: 	: 	: 	: 	10000 
NR,Y35-44,M,FI	: 	: 	: 	1817 	1750 	1679 	1721 	1663 	1654 	1656 	1639 	1601 	1585 	1556 	1628 	1604 	1627 	1645 b	1900 	1957 	2045 	2201 	2305 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,FR	: 	18783 	18322 	17985 	17904 	17563 	17644 	17582 	17408 	17588 	17809 b	18681 	19404 b	21178 	22901 	24573 	26500 	28749 	31381 	33902 	36671 	38984 	41164 	43425 	45902 	47801 	49680 	52323 	55090 	57107 	57977 	58207 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,HR	: 	1164 	1123 	1092 	1104 	1075 	1064 	1070 	1057 	1018 	1019 	991 	1011 b	1025 	1069 	1086 	1196 	1305 	1365 	1447 	1476 	1510 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,HU	: 	2177 b	2240 	2272 	2297 	2312 	2399 b	2590 	2695 	2673 	2635 	2681 b	2970 	3084 b	3121 b	3189 	3028 b	3712 b	4141 	4096 b	3781 e	3616 be	4389 	4493 	4574 	4645 	4541 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,IE	2495 b	2090 	1966 	1961 	2168 	2119 	2099 	2132 b	2793 	2942 	3222 	: 	: 	3133 	2972 	2771 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,IS	: 	: 	113 	109 	114 	132 b	103 	100 	99 	93 	92 	102 	117 	124 	125 	118 	134 b	157 	166 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,IT	15747 p	15070 	15196 	15014 	15439 	15432 	15072 	15298 	15552 	15555 b	23603 	24571 	26107 	28269 	30996 	33823 	37630 	45694 e	50367 e	55614 e	61793 e	68144 be	80057 	86371 	92277 	97422 	101111 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,LI	13 	14 	19 	18 	17 	14 	16 	18 	17 	18 	16 	18 b	12 d	15 d	14 d	17 d	17 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,LT	: 	548 e	568 e	573 be	677 e	668 e	664 e	685 e	695 e	700 e	744 e	769 e	799 e	851 e	918 be	1012 	995 	1023 	1015 	1062 	1102 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,LU	: 	: 	: 	: 	217 	209 	215 	202 	201 	188 	174 	190 	193 	205 	214 	225 	234 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,LV	: 	178 	177 	173 	179 	196 	212 	232 	241 	267 	309 	336 	388 	434 	463 	466 	492 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,ME	: 	214 	203 	196 	191 	188 	171 	162 	153 	132 	122 	116 	123 	114 	123 	131 	153 	168 	171 	184 	206 	196 	162 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,MK	: 	609 	599 	596 	591 	560 	517 	535 	517 	510 	482 	472 	428 	428 	406 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,MT	: 	220 	225 	213 	200 	199 	190 	181 	170 	162 	156 	145 	180 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,NL	: 	6069 	5917 	5744 b	5785 	5760 	5791 	5697 b	5616 	5556 	5243 	5195 	5202 	5278 	5397 	5657 	5852 	6154 	6662 	6989 	7383 	7736 	8075 b	9238 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8224 	: 	: 	: 	: 	: 
NR,Y35-44,M,NO	3595 	3529 	3427 	3335 	3295 	3258 	3126 b	3043 	2890 	2850 	2799 	2686 	2581 b	2466 	2353 	2274 	2229 	2239 	2193 	2226 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,RO	: 	4497 	4381 	4249 	4141 	4061 	3947 	3791 	3717 	3813 	3564 	3551 b	3371 	3379 	3391 	3533 	3222 	3601 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,RS	1668 	1636 b	: 	1900 	2017 	2065 b	2103 	2108 	2093 	2065 	2077 	2089 	2122 	2145 	2144 	2228 	2350 	2507 	2756 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,SE	: 	: 	5451 	5463 	5382 	5295 	5150 	4932 	4791 	4598 	4525 	4384 	4311 	4174 	4063 	3955 	3908 	3921 	3872 	3923 	4002 	4071 	4228 	4417 	4647 	4881 	5134 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,SI	: 	608 	608 	570 	524 	516 	523 	511 	460 	462 	440 	463 	458 	458 	451 	478 	480 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,SK	: 	1630 	1548 	1540 	1529 	1641 	1752 	1819 	1844 	1898 	1913 	1946 	1954 	2053 	2025 	1811 	1623 	1582 	1525 	1533 	1634 	1652 	1893 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,M,TR	: 	25379 	25056 	24800 b	24293 e	23456 e	22878 e	21964 e	21666 e	21017 e	20411 e	19993 e	19215 e	18326 e	17556 e	16920 e	16334 e	15728 e	15299 e	14892 e	14544 e	13806 e	12901 e	12161 e	11587 e	11194 e	10985 e	10662 e	9887 e	9229 e	8824 e	8201 e	7565 e	6883 e	6289 e	6064 e	5900 e	5538 e	5225 e	5014 e	4601 e	4412 e
NR,Y35-44,M,UK	: 	: 	27424 	26955 e	27037 	27121 	27421 b	28063 	28195 	28241 	28194 	27733 	27421 b	26814 	25784 	25566 	25522 	25530 	24854 	24628 	24242 	23698 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,AT	12323 	12429 	12509 	12255 	12098 	11813 	11504 	11067 	10628 	10310 	9910 	9755 	9534 	9532 	9752 	10215 	10643 	11351 	11728 	12058 	12539 	12811 	12919 	12767 	12185 	11602 	10955 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,BE	: 	8063 	7830 	7618 	7566 	7664 	7781 	7878 	7946 	7898 	7871 	7867 	7770 	7843 	7968 	7907 	7978 	8085 	8300 	8736 	9001 	9339 	9644 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,BG	: 	2895 	2858 	2926 	2967 	3148 	3704 	4005 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,CH	9198 	8918 	8897 	8961 	8886 	8943 	8911 	8821 	8707 	8370 	8143 	8068 	7984 	7939 b	8078 	8113 	8032 	7950 	7981 	7691 	7807 	7949 	: 	: 	: 	7658 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,CY	: 	: 	932 	861 	804 	767 	704 	654 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	650 	: 	: 	: 	: 	674 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,CZ	: 	9343 e	9585 be	: 	: 	: 	: 	: 	8555 	8631 	8698 	8703 	8775 	8742 	8744 	8623 	8403 	8311 	8440 	8647 	8923 	9225 b	9050 	9484 	10282 	10369 	10807 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,DE	: 	49968 	47281 	45013 	43325 	41758 	40947 	40315 	38966 	37274 	36100 	35260 	34919 	35479 	37296 	39052 	40059 	42191 	44078 	45622 	46663 	47671 	48247 	47543 	46375 	45195 	43513 	41415 	39945 	37974 	36948 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,DK	: 	: 	6835 	6767 	6618 	6462 	6295 	6038 	5722 	5472 	5265 	5022 	4800 	4542 	4327 	4178 	4078 	4077 	4113 	4275 	4417 	4602 	4785 	4897 	4979 	4957 	5071 	5078 	5049 	5086 b	4971 	5165 	5155 	5122 	4952 	4947 	4737 	4496 	4004 	3808 	3372 	3140 
NR,Y35-44,T,EE	: 	701 	648 	633 	639 	624 	609 	632 	654 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,EL	: 	15686 	16974 	17778 	18921 	20810 	21457 	22159 	21708 	21591 	21399 	18938 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17387 	16694 	16063 	15877 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,ES	: 	51767 	50633 	45200 	43166 	43133 	44333 	45166 	47167 	46500 	44867 	40333 	36867 	37800 	39033 	41700 	41633 	44466 	44067 	43667 	46900 	49833 	51800 	50800 	52267 	51067 	: 	: 	: 	: 	: 	24100 	: 	: 	: 	: 	15100 	: 	: 	: 	: 	13500 
NR,Y35-44,T,FI	: 	: 	: 	5153 	4851 	4646 	4624 	4531 	4496 	4451 	4405 	4353 	4313 	4296 	4381 	4342 	4388 	4360 b	4847 	4894 	5004 	5182 	5227 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,FR	: 	45326 	43208 	41574 	40403 	39150 	38795 	38219 	37801 	37635 	37691 b	39822 	40762 b	43694 	46085 	48129 	50569 	53507 	57225 	60731 	64249 	67176 	70107 	73238 	76189 	78273 	80279 	83193 	85633 	86755 	86156 	84660 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,HR	: 	3314 	3192 	3104 	3112 	3040 	3009 	3020 	2973 	2904 	2881 	2861 	2874 b	2918 	2991 	2976 	3133 	3338 	3432 	3517 	3583 	3652 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,HU	: 	5415 b	5454 	5467 	5518 	5507 	5591 b	5698 	5762 	5761 	5699 	5741 b	6095 	6363 b	6394 b	6279 	6003 b	7764 b	8812 	8934 b	8316 e	7914 be	9936 	10212 	10365 	10479 	10287 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,IE	5027 b	4303 	4022 	4000 	4327 	4187 	4093 	4063 b	5102 	5039 	5328 	: 	: 	4932 	4720 	4244 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,IS	: 	: 	270 	247 	237 	249 b	198 	189 	189 	177 	174 	195 	215 	228 	225 	218 	239 b	268 	271 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,IT	43474 p	42195 	42337 	41420 	41789 	40638 	38725 	38584 	38008 	37010 b	54414 	54760 	56101 	58409 	61618 	65142 	70304 	80739 e	87601 e	94852 e	103144 e	111114 be	127790 	135069 	141578 	146533 	148956 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,LI	24 	25 	27 	26 	28 	25 	27 	27 	28 	28 	26 	27 b	20 d	23 d	21 d	24 d	23 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,LT	: 	1813 e	1888 e	1895 be	2051 e	2035 e	2007 e	2068 e	2136 e	2232 e	2248 e	2448 e	2583 e	2749 e	3027 be	3355 	3302 	3344 	3326 	3605 	3739 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,LU	: 	: 	: 	: 	414 	388 	390 	365 	355 	332 	313 	335 	326 	337 	342 	355 	355 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,LV	: 	691 	667 	653 	687 	757 	809 	906 	977 	1055 	1166 	1273 	1395 	1537 	1617 	1620 	1705 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,ME	: 	574 	560 	550 	498 	494 	478 	436 	425 	367 	360 	359 	367 	348 	365 	385 	417 	455 	469 	475 	513 	503 	463 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,MK	: 	1643 	1662 	1627 	1571 	1531 	1416 	1389 	1323 	1299 	1248 	1178 	1129 	1120 	1051 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,MT	: 	440 	415 	382 	360 	332 	295 	283 	261 	240 	235 b	227 	265 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,NL	: 	17082 	16248 	15356 b	14968 	14688 	14451 	14077 b	13582 	13244 	12404 	12036 	11848 	11778 	11620 	11713 	11782 	11844 	12186 	12339 	12545 	12699 	12811 b	14577 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10355 	: 	: 	: 	: 	: 
NR,Y35-44,T,NO	8542 	8303 	7972 	7694 	7415 	7150 	6794 b	6400 	5964 	5759 	5573 	5274 	5048 b	4778 	4503 	4342 	4138 	4078 	3874 	3916 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,RO	: 	14959 	14703 	14314 	14133 	13677 	13601 	13193 	13152 	13173 	12807 	12739 b	12585 	12358 	12058 	12085 	11934 	12731 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,RS	5362 	5130 b	: 	5867 	6196 	6296 b	6492 	6468 	6442 	6406 	6457 	6417 	6438 	6500 	6488 	6709 	7065 	7371 	7736 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,SE	: 	: 	12427 	12177 	11848 	11584 	11060 	10505 	10060 	9574 	9213 	8828 	8554 	8163 	7849 	7481 	7260 	7142 	7012 	7041 	7079 	7210 	7478 	7738 	8049 	8350 	8544 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,SI	: 	1807 	1798 	1689 	1604 	1526 	1505 	1476 	1391 	1346 	1284 	1279 	1262 	1262 	1270 	1291 	1294 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,SK	: 	4067 	3809 	3718 	3654 	3862 	4125 	4268 	4318 	4399 	4444 	4501 	4471 	4555 	4562 	4030 	3665 	3702 	3596 	3633 	3847 	3898 	4510 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y35-44,T,TR	: 	44378 	43892 	43626 b	42734 e	41261 e	40245 e	38637 e	38113 e	36972 e	35905 e	35170 e	33801 e	32237 e	30883 e	29764 e	28733 e	27667 e	26913 e	26196 e	25585 e	24286 e	22694 e	21393 e	20383 e	19692 e	19324 e	18756 e	17393 e	16235 e	15523 e	14427 e	13307 e	12108 e	11063 e	10667 e	10378 e	9742 e	9191 e	8820 e	8094 e	7761 e
NR,Y35-44,T,UK	: 	: 	57049 	55110 e	53821 	52617 	52228 b	52646 	51666 	50887 	50183 	48800 	47984 b	46775 	44134 	43148 	42596 	41997 	40313 	39223 	38205 	37023 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,AT	5744 	5480 	5353 	5336 	5530 	5715 	5712 	5731 	5941 	5915 	5958 	5931 	5741 	5519 	5149 	4716 	4198 	3582 	3219 	2834 	2542 	2216 	1900 	1675 	1551 	1446 	1361 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,BE	: 	4546 	4339 	4258 	4153 	4007 	3806 	3626 	3496 	3450 	3359 	3255 	3203 	3125 	3043 	2965 	2876 	2787 	2683 	2460 	2271 	2133 	1948 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,BG	: 	3392 	3653 	4003 	4210 	4564 	4930 	5509 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,CH	4892 	4640 	4439 	4313 	4244 	4078 	3882 	3701 	3551 	3393 	3257 	3218 	3057 	2878 b	2788 	2619 	2448 	2262 	2125 	1902 	1761 	1652 	: 	: 	: 	1229 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,CY	: 	: 	299 	289 	265 	286 	292 	301 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	175 	: 	: 	: 	: 	74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,CZ	: 	5189 e	5307 be	: 	: 	: 	: 	: 	4635 	4726 	4840 	4935 	5179 	5409 	5630 	5818 	5879 	5870 	5787 	5728 	5572 	5493 b	4917 	4703 	4654 	4395 	4293 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,DE	: 	41699 	40601 	39349 	38824 	38636 	38449 	39041 	39630 	39879 	40668 	40631 	40498 	40272 	39448 	38584 	37630 	36322 	35058 	33506 	31578 	29682 	27926 	26258 	24463 	22700 	20961 	19341 	18463 	17349 	17076 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,DK	: 	: 	2777 	2671 	2593 	2488 	2410 	2400 	2380 	2383 	2362 	2317 	2276 	2209 	2166 	2119 	2068 	1958 	1822 	1769 	1667 	1631 	1534 	1460 	1323 	1160 	1056 	952 	907 	827 b	725 	669 	584 	518 	431 	394 	367 	354 	306 	304 	258 	250 
NR,Y45-54,F,EE	: 	578 	605 	651 	687 	755 	790 	823 	851 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,EL	: 	8534 	8288 	7738 	7538 	7216 	6365 	6236 	6046 	5866 	5806 	5545 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3564 	3348 	3099 	3151 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,ES	: 	27367 	26567 	24000 	22733 	23033 	23767 	24067 	22233 	23200 	24333 	25200 	23667 	23867 	22967 	20367 	17533 	15533 	14100 	11900 	10133 	8200 	6400 	5300 	5067 	4367 	: 	: 	: 	: 	: 	1600 	: 	: 	: 	: 	1000 	: 	: 	: 	: 	1200 
NR,Y45-54,F,FI	: 	: 	: 	2809 	2899 	2875 	2875 	2898 	2898 	2839 	2842 	2853 	2835 	2745 	2716 	2618 	2519 	2367 b	2459 	2280 	2075 	1934 	1742 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,FR	: 	21063 	21212 	21680 	22100 	22390 	22571 	23066 	23838 	24562 	25096 b	29005 	29675 b	30072 	30623 	31134 	31424 	31499 	30958 	29972 	28797 	27210 	25082 	23463 	21081 	18760 	16396 	14097 	11994 	10231 	8794 	7784 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,HR	: 	1990 	2039 	2085 	2096 	2070 	2137 	2118 	2253 	2243 	2251 	2247 	2224 b	2212 	2196 	2223 	2138 	2050 	1974 	1924 	1895 	1815 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,HU	: 	2903 b	3178 	3213 	3368 	3404 	3432 b	3788 	4004 	3996 	4078 	4141 b	4339 	4370 b	4265 b	4716 	4502 b	5006 b	5740 	5625 b	4910 e	4511 be	5285 	5145 	4930 	4840 	4710 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,IE	1819 b	1708 	1620 	1623 	1459 	1386 	1310 	1228 b	1376 	1272 	1244 	: 	: 	1053 	1042 	909 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,IS	: 	: 	128 	132 	128 	130 b	130 	128 	126 	129 	132 	122 	115 	106 	111 	103 	88 b	78 	74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,IT	23673 p	23095 	22891 	22902 	23075 	23398 	23928 	25365 	27117 	28720 b	42871 	45219 	46936 	48082 	48838 	48766 	47612 	43847 e	40256 e	36367 e	31846 e	27159 be	24576 	19931 	15651 	12085 	9457 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,LI	14 	14 	16 	16 	16 	17 	15 	14 	12 	10 	11 	8 b	6 d	6 d	6 d	6 d	7 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,LT	: 	1661 e	1722 e	1749 be	2005 e	2080 e	2131 e	2235 e	2428 e	2442 e	2523 e	2583 e	2687 e	2719 e	2952 be	2896 	2839 	2801 	2794 	2713 	2599 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,LU	: 	: 	: 	: 	202 	198 	200 	195 	182 	176 	170 	157 	153 	145 	151 	135 	126 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,LV	: 	899 	943 	1037 	1103 	1166 	1245 	1304 	1395 	1427 	1480 	1533 	1579 	1603 	1572 	1519 	1496 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,ME	: 	239 	225 	223 	237 	241 	251 	266 	272 	274 	282 	278 	272 	266 	260 	249 	219 	187 	170 	169 	171 	176 	163 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,MK	: 	734 	761 	746 	798 	869 	923 	981 	1045 	1082 	1118 	1263 	1286 	1365 	1352 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,MT	: 	89 	95 	100 	98 	103 	113 	109 	103 	102 	99 	86 	86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,NL	: 	7179 	6915 	6758 b	6642 	6383 	6262 	5996 b	5716 	5537 	5288 	5064 	4939 	4757 	4503 	4409 	4113 	3975 	3772 	3598 	3352 	3126 	2809 b	3101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	874 	: 	: 	: 	: 	: 
NR,Y45-54,F,NO	2950 	2806 	2637 	2469 	2320 	2222 	2098 b	2036 	1934 	1895 	1850 	1832 	1730 b	1682 	1630 	1500 	1377 	1242 	1130 	1057 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
