NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
3	3033056	Bessières	4100.00	8.16	36.82	10.29	0.00	7.46	0.08	0.07	0.06	0.04
3	3016714	Ganges	7628.00	15.18	68.50	19.15	0.00	13.88	0.15	0.13	0.12	0.08
3	3015546	Gourdon	8436.00	16.79	75.76	21.17	0.00	15.35	0.17	0.14	0.13	0.09
3	2993013	Montarnaud	115516.00	229.88	1037.33	289.95	0.00	210.24	2.30	1.94	1.80	1.18
3	6455847	Le Vigan	7403.00	14.73	66.48	18.58	0.00	13.47	0.15	0.12	0.12	0.08
3	3034170	Beaumont-de-Lomagne	3765.00	7.49	33.81	9.45	0.00	6.85	0.07	0.06	0.06	0.04
3	3015119	Gallargues-le-Montueux	174979.00	348.21	1571.31	439.20	0.00	318.46	3.48	2.94	2.73	1.78
3	2988755	Amélie-les-Bains-Palalda	9727.00	19.36	87.35	24.41	0.00	17.70	0.19	0.16	0.15	0.10
3	3035044	Barbazan-Debat	3481.00	6.93	31.26	8.74	0.00	6.34	0.07	0.06	0.05	0.04
3	2981228	Saint-Céré	11887.00	23.66	106.75	29.84	0.00	21.63	0.24	0.20	0.19	0.12
3	3014482	Gramat	3468.00	6.90	31.14	8.70	0.00	6.31	0.07	0.06	0.05	0.04
3	6432008	Mirande	5605.00	11.15	50.33	14.07	0.00	10.20	0.11	0.09	0.09	0.06
3	2989629	Olemps	4448.00	8.85	39.94	11.16	0.00	8.10	0.09	0.07	0.07	0.05
3	2984719	Quillan	4515.00	8.98	40.54	11.33	0.00	8.22	0.09	0.08	0.07	0.05
3	3031205	Boujan-sur-Libron	19082.00	37.97	171.36	47.90	0.00	34.73	0.38	0.32	0.30	0.19
3	2984643	Quissac	60394.00	120.18	542.34	151.59	0.00	109.92	1.20	1.01	0.94	0.62
3	3009188	Lagardelle-sur-Lèze	61792.00	122.97	554.89	155.10	0.00	112.46	1.23	1.04	0.96	0.63
3	2992926	Montberon	24007.00	47.77	215.58	60.26	0.00	43.69	0.48	0.40	0.37	0.24
3	3007694	Langogne	2886.00	5.74	25.92	7.24	0.00	5.25	0.06	0.05	0.05	0.03
3	6424456	Brax	2836.00	5.64	25.47	7.12	0.00	5.16	0.06	0.05	0.04	0.03
3	2999649	Les Salles-du-Gardon	44897.00	89.35	403.18	112.69	0.00	81.71	0.89	0.75	0.70	0.46
3	2983591	Rieux-Volvestre	8779.00	17.47	78.84	22.04	0.00	15.98	0.17	0.15	0.14	0.09
3	3024239	Colombiers	20088.00	39.98	180.39	50.42	0.00	36.56	0.40	0.34	0.31	0.20
3	2982117	Conques-sur-Orbiel	2545.00	5.06	22.85	6.39	0.00	4.63	0.05	0.04	0.04	0.03
3	3008321	Lamalou-les-Bains	2508.00	4.99	22.52	6.30	0.00	4.56	0.05	0.04	0.04	0.03
3	2988309	Pavie	6231.00	12.40	55.95	15.64	0.00	11.34	0.12	0.10	0.10	0.06
3	3024314	Collioure	2418.00	4.81	21.71	6.07	0.00	4.40	0.05	0.04	0.04	0.02
3	2974699	Sévérac-le-Château	2415.00	4.81	21.69	6.06	0.00	4.40	0.05	0.04	0.04	0.02
3	2985547	Prayssac	9057.00	18.02	81.33	22.73	0.00	16.48	0.18	0.15	0.14	0.09
3	3029108	Calmont	3657.00	7.28	32.84	9.18	0.00	6.66	0.07	0.06	0.06	0.04
3	2995146	Maubourguet	2322.00	4.62	20.85	5.83	0.00	4.23	0.05	0.04	0.04	0.02
3	3035416	Bagnères-de-Luchon	2293.00	4.56	20.59	5.76	0.00	4.17	0.05	0.04	0.04	0.02
3	6431368	Remoulins	11484.00	22.85	103.13	28.82	0.00	20.90	0.23	0.19	0.18	0.12
3	6427047	Salles-la-Source	44409.00	88.37	398.79	111.47	0.00	80.82	0.88	0.75	0.69	0.45
