NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
2	314290	Monte_Azul	85137.00	142.18	102.16	213.69	0.00	227.32	0.56	0.43	0.26	0.03
2	314300	Monte_Belo	14215.00	23.74	17.06	35.68	0.00	37.95	0.09	0.07	0.04	0.00
2	314310	Monte_Carmelo	71301.00	119.07	85.56	178.97	0.00	190.37	0.47	0.36	0.22	0.02
2	314320	Monte_Santo_De_Minas	122085.00	203.88	146.50	306.43	0.00	325.97	0.81	0.61	0.38	0.04
2	314330	Montes_Claros	444637.00	742.54	533.56	1116.04	0.00	1187.18	2.93	2.22	1.38	0.13
2	314390	Muriae	116605.00	194.73	139.93	292.68	0.00	311.34	0.77	0.58	0.36	0.03
2	314450	Nazareno	25186.00	42.06	30.22	63.22	0.00	67.25	0.17	0.13	0.08	0.01
2	314460	Nepomuceno	66018.00	110.25	79.22	165.71	0.00	176.27	0.44	0.33	0.20	0.02
2	314470	Nova_Era	29088.00	48.58	34.91	73.01	0.00	77.66	0.19	0.15	0.09	0.01
2	314480	Nova_Lima	111931.00	186.92	134.32	280.95	0.00	298.86	0.74	0.56	0.35	0.03
2	314510	Nova_Resende	38774.00	64.75	46.53	97.32	0.00	103.53	0.26	0.19	0.12	0.01
2	314520	Nova_Serrana	146265.00	244.26	175.52	367.13	0.00	390.53	0.97	0.73	0.45	0.04
2	314600	Ouro_Fino	89232.00	149.02	107.08	223.97	0.00	238.25	0.59	0.45	0.28	0.03
2	314610	Ouro_Preto	144672.00	241.60	173.61	363.13	0.00	386.27	0.95	0.72	0.45	0.04
2	314630	Padre_Paraiso	59205.00	98.87	71.05	148.60	0.00	158.08	0.39	0.30	0.18	0.02
2	314670	Palma	28580.00	47.73	34.30	71.74	0.00	76.31	0.19	0.14	0.09	0.01
2	314675	Palmopolis	80213.00	133.96	96.26	201.33	0.00	214.17	0.53	0.40	0.25	0.02
2	314700	Paracatu	99690.00	166.48	119.63	250.22	0.00	266.17	0.66	0.50	0.31	0.03
2	314710	Para_De_Minas	147290.00	245.97	176.75	369.70	0.00	393.26	0.97	0.74	0.46	0.04
2	314730	Paraisopolis	64680.00	108.02	77.62	162.35	0.00	172.70	0.43	0.32	0.20	0.02
2	314790	Passos	127684.00	213.23	153.22	320.49	0.00	340.92	0.84	0.64	0.40	0.04
2	314800	Patos_De_Minas	182085.00	304.08	218.50	457.03	0.00	486.17	1.20	0.91	0.56	0.05
2	314810	Patrocinio	105711.00	176.54	126.85	265.33	0.00	282.25	0.70	0.53	0.33	0.03
2	314910	Pedralva	15161.00	25.32	18.19	38.05	0.00	40.48	0.10	0.08	0.05	0.00
2	314980	Perdizes	17266.00	28.83	20.72	43.34	0.00	46.10	0.11	0.09	0.05	0.01
2	315070	Pirajuba	45245.00	75.56	54.29	113.56	0.00	120.80	0.30	0.23	0.14	0.01
2	315080	Piranga	41630.00	69.52	49.96	104.49	0.00	111.15	0.27	0.21	0.13	0.01
2	315140	Pitangui	39236.00	65.52	47.08	98.48	0.00	104.76	0.26	0.20	0.12	0.01
2	315180	Pocos_De_Caldas	185321.00	309.49	222.39	465.16	0.00	494.81	1.22	0.93	0.57	0.06
2	315210	Ponte_Nova	107115.00	178.88	128.54	268.86	0.00	286.00	0.71	0.54	0.33	0.03
2	315220	Porteirinha	62850.00	104.96	75.42	157.75	0.00	167.81	0.41	0.31	0.19	0.02
2	315240	Pote	37228.00	62.17	44.67	93.44	0.00	99.40	0.25	0.19	0.12	0.01
2	315250	Pouso_Alegre	186305.00	311.13	223.57	467.63	0.00	497.43	1.23	0.93	0.58	0.06
2	315270	Prados	60622.00	101.24	72.75	152.16	0.00	161.86	0.40	0.30	0.19	0.02
2	315340	Presidente_Olegario	61472.00	102.66	73.77	154.29	0.00	164.13	0.41	0.31	0.19	0.02
2	315400	Raul_Soares	74001.00	123.58	88.80	185.74	0.00	197.58	0.49	0.37	0.23	0.02
2	315410	Recreio	11340.00	18.94	13.61	28.46	0.00	30.28	0.07	0.06	0.04	0.00
2	315420	Resende_Costa	26329.00	43.97	31.59	66.09	0.00	70.30	0.17	0.13	0.08	0.01
2	315430	Resplendor	99417.00	166.03	119.30	249.54	0.00	265.44	0.66	0.50	0.31	0.03
2	315520	Rio_Espera	42285.00	70.62	50.74	106.14	0.00	112.90	0.28	0.21	0.13	0.01
2	315550	Rio_Paranaiba	62268.00	103.99	74.72	156.29	0.00	166.26	0.41	0.31	0.19	0.02
2	315570	Rio_Piracicaba	15473.00	25.84	18.57	38.84	0.00	41.31	0.10	0.08	0.05	0.00
2	315580	Rio_Pomba	75511.00	126.10	90.61	189.53	0.00	201.61	0.50	0.38	0.23	0.02
2	315590	Rio_Preto	16757.00	27.98	20.11	42.06	0.00	44.74	0.11	0.08	0.05	0.01
2	315670	Sabara	163614.00	273.24	196.34	410.67	0.00	436.85	1.08	0.82	0.51	0.05
2	315770	Santa_Juliana	35213.00	58.81	42.26	88.38	0.00	94.02	0.23	0.18	0.11	0.01
2	315780	Santa_Luzia	239656.00	400.23	287.59	601.54	0.00	639.88	1.58	1.20	0.74	0.07
2	315790	Santa_Margarida	38294.00	63.95	45.95	96.12	0.00	102.24	0.25	0.19	0.12	0.01
2	315800	Santa_Maria_De_Itabira	19303.00	32.24	23.16	48.45	0.00	51.54	0.13	0.10	0.06	0.01
2	315810	Santa_Maria_Do_Salto	13217.00	22.07	15.86	33.17	0.00	35.29	0.09	0.07	0.04	0.00
2	315960	Santa_Rita_Do_Sapucai	58527.00	97.74	70.23	146.90	0.00	156.27	0.39	0.29	0.18	0.02
2	315980	Santa_Vitoria	21148.00	35.32	25.38	53.08	0.00	56.47	0.14	0.11	0.07	0.01
2	316040	Santo_Antonio_Do_Monte	90565.00	151.24	108.68	227.32	0.00	241.81	0.60	0.45	0.28	0.03
2	316070	Santos_Dumont	56727.00	94.73	68.07	142.38	0.00	151.46	0.37	0.28	0.18	0.02
2	316200	Sao_Goncalo_Do_Sapucai	31134.00	51.99	37.36	78.15	0.00	83.13	0.21	0.16	0.10	0.01
2	316220	Sao_Joao_Batista_Do_Gloria	7989.00	13.34	9.59	20.05	0.00	21.33	0.05	0.04	0.02	0.00
2	316250	Sao_Joao_Del_Rei	105403.00	176.02	126.48	264.56	0.00	281.43	0.70	0.53	0.33	0.03
2	316470	Sao_Sebastiao_Do_Paraiso	83579.00	139.58	100.29	209.78	0.00	223.16	0.55	0.42	0.26	0.03
2	316500	Sao_Tiago	11780.00	19.67	14.14	29.57	0.00	31.45	0.08	0.06	0.04	0.00
2	316550	Sardoa	47207.00	78.84	56.65	118.49	0.00	126.04	0.31	0.24	0.15	0.01
2	316570	Senador_Firmino	13000.00	21.71	15.60	32.63	0.00	34.71	0.09	0.07	0.04	0.00
2	316680	Serra_Do_Salitre	16855.00	28.15	20.23	42.31	0.00	45.00	0.11	0.08	0.05	0.01
2	316720	Sete_Lagoas	438465.00	732.24	526.16	1100.55	0.00	1170.70	2.89	2.19	1.36	0.13
2	316800	Taiobeiras	182217.00	304.30	218.66	457.36	0.00	486.52	1.20	0.91	0.56	0.05
2	316840	Tarumirim	46886.00	78.30	56.26	117.68	0.00	125.19	0.31	0.23	0.15	0.01
2	316850	Teixeiras	34250.00	57.20	41.10	85.97	0.00	91.45	0.23	0.17	0.11	0.01
2	316860	Teofilo_Otoni	164026.00	273.92	196.83	411.71	0.00	437.95	1.08	0.82	0.51	0.05
2	316920	Tombos	106389.00	177.67	127.67	267.04	0.00	284.06	0.70	0.53	0.33	0.03
2	316930	Tres_Coracoes	98934.00	165.22	118.72	248.32	0.00	264.15	0.65	0.49	0.31	0.03
2	316935	Tres_Marias	34496.00	57.61	41.40	86.58	0.00	92.10	0.23	0.17	0.11	0.01
2	316940	Tres_Pontas	60988.00	101.85	73.19	153.08	0.00	162.84	0.40	0.30	0.19	0.02
2	316960	Tupaciguara	27237.00	45.49	32.68	68.36	0.00	72.72	0.18	0.14	0.08	0.01
2	316990	Uba	210885.00	352.18	253.06	529.32	0.00	563.06	1.39	1.05	0.65	0.06
2	317000	Ubai	48028.00	80.21	57.63	120.55	0.00	128.23	0.32	0.24	0.15	0.01
2	317010	Uberaba	356310.00	595.04	427.57	894.34	0.00	951.35	2.35	1.78	1.10	0.11
2	317020	Uberlandia	736915.00	1230.65	884.30	1849.66	0.00	1967.56	4.86	3.68	2.28	0.22
2	317040	Unai	93965.00	156.92	112.76	235.85	0.00	250.89	0.62	0.47	0.29	0.03
2	317070	Varginha	145040.00	242.22	174.05	364.05	0.00	387.26	0.96	0.73	0.45	0.04
2	317075	Varjao_De_Minas	15093.00	25.21	18.11	37.88	0.00	40.30	0.10	0.08	0.05	0.00
2	317080	Varzea_Da_Palma	140093.00	233.96	168.11	351.63	0.00	374.05	0.92	0.70	0.43	0.04
2	317090	Varzelandia	54515.00	91.04	65.42	136.83	0.00	145.56	0.36	0.27	0.17	0.02
2	317120	Vespasiano	586293.00	979.11	703.55	1471.60	0.00	1565.40	3.87	2.93	1.82	0.18
2	317130	Vicosa	102221.00	170.71	122.67	256.57	0.00	272.93	0.67	0.51	0.32	0.03
