# Duracoes outliers (longas, porem reais)
# ORIGEM	DESTINO	DISTÂNCIA (km)	DURACAO (s)
param: K_out: dist_out dur_out :=
# 130100	412550	4161.20		356675
# 130100	420240	4334.92		371565
# 130100	420540	4459.98		382285
# 130100	420910	4281.81		367013
# 130100	430460	4531.18		388388
# 130100	430510	4434.49		380099
# 130100	431440	4687.52		401788
# 130100	431490	4541.71		389290
# 130100	500270	3055.44		261896
# 130100	510340	2348.01		201259
# 130100	520110	3268.43		280152
# 130100	520140	3273.17		280558
# 130100	520870	3258.13		279269
# 130100	530010	3365.95		288510
# 130195	110020	772.43		66209
# 130195	120040	555.24		47592
# 130195	140010	1861.71		159576
# 130195	150080	3185.81		273070
# 130195	150140	3164.18		271216
# 130195	150680	2189.87		187703
# 130195	160030	2854.56		244677
# 130195	172100	3118.78		267324
# 130195	211130	3765.56		322763
# 130195	221100	3945.46		338183
# 130195	230370	4606.56		394849
# 130195	230440	4617.72		395805
# 130195	240810	5108.44		437867
# 130195	250400	5003.83		428900
# 130195	250750	5159.95		442282
# 130195	260410	4990.63		427769
# 130195	260790	5152.09		441608
# 130195	260960	5161.05		442376
# 130195	261070	5157.91		442107
# 130195	261110	4302.15		368756
# 130195	261160	5156.52		441988
# 130195	270430	5040.14		432013
# 130195	280030	4848.92		415622
# 130195	291080	4585.33		393029
# 130195	292740	4675.25		400736
# 130195	293330	4387.85		376102
# 130195	310620	4233.14		362841
# 130195	310670	4199.91		359993
# 130195	311860	4214.81		361270
# 130195	313670	4439.28		380511
# 130195	314330	4041.59		346422
# 130195	315460	4200.40		360035
# 130195	317010	3696.03		316803
# 130195	317020	3595.38		308176
# 130195	320130	4725.71		405062
# 130195	320500	4732.56		405648
# 130195	320520	4742.20		406475
# 130195	320530	4736.95		406024
# 130195	330045	4509.97		386569
# 130195	330100	4697.32		402628
# 130195	330170	4523.47		387727
# 130195	330330	4560.60		390909
# 130195	330350	4503.78		386039
# 130195	330390	4517.79		387239
# 130195	330455	4540.46		389183
# 130195	330490	4561.32		390971
# 130195	330510	4516.84		387158
# 130195	350600	3795.49		325328
# 130195	350950	4082.20		349903
# 130195	351060	4165.28		357024
# 130195	351380	4204.39		360377
# 130195	351620	3835.95		328796
# 130195	351870	4275.41		366464
# 130195	351880	4194.65		359542
# 130195	352310	4216.45		361410
# 130195	352590	4127.42		353779
# 130195	352690	4010.79		343783
# 130195	352940	4220.99		361799
# 130195	353060	4237.51		363215
# 130195	353440	4170.11		357438
# 130195	353870	3996.28		342539
# 130195	354100	4257.07		364892
# 130195	354340	3839.91		329135
# 130195	354780	4212.00		361029
# 130195	354850	4259.79		365125
# 130195	354870	4214.28		361225
# 130195	354980	3619.39		310234
# 130195	354990	4244.78		363839
# 130195	355030	4199.15		359927
# 130195	355100	4257.74		364949
# 130195	355220	4090.64		350627
# 130195	355410	4269.69		365974
# 130195	410480	3627.82		310957
# 130195	410690	4088.18		350416
# 130195	411370	3667.03		314317
# 130195	411520	3598.54		308447
# 130195	411990	3960.93		339509
# 130195	412550	4107.06		352035
# 130195	420240	4270.35		366030
# 130195	420540	4393.95		376625
# 130195	420910	4223.94		362053
# 130195	430460	4428.42		379580
# 130195	430510	4336.66		371714
# 130195	431440	4565.16		391300
# 130195	431490	4437.86		380389
# 130195	500270	2999.33		257086
# 130195	510340	2340.00		200572
# 130195	520110	3318.00		284401
# 130195	520140	3314.17		284072
# 130195	520870	3300.99		282942
# 130195	530010	3429.74		293979
# 130300	110020	1503.92		128908
# 130300	120040	2100.67		180058
# 130300	130260	533.62		45739
# 130300	140010	993.04		85119
# 130300	150080	1305.49		111899
# 130300	150140	1285.56		110191
# 130300	160030	946.83		81158
# 130300	172100	1792.94		153681
# 130300	211130	1932.53		165646
# 130300	221100	2207.44		189210
# 130300	230370	2817.92		241537
# 130300	230440	2828.53		242446
# 130300	240810	3379.39		289662
# 130300	250400	3325.61		285053
# 130300	250750	3475.79		297925
# 130300	260410	3352.31		287341
# 130300	260790	3503.99		300342
# 130300	260960	3506.19		300531
# 130300	261070	3501.35		300116
# 130300	261110	2749.81		235698
# 130300	261160	3504.31		300370
# 130300	270430	3453.83		296043
# 130300	280030	3328.25		285279
# 130300	291080	3153.58		270308
# 130300	292740	3274.76		280694
# 130300	293330	3135.97		268798
# 130300	310620	3379.17		289644
# 130300	310670	3359.48		287956
# 130300	311860	3366.96		288597
# 130300	313670	3657.87		313533
# 130300	314330	2997.80		256955
# 130300	315460	3343.95		286625
# 130300	317010	3034.37		260089
# 130300	317020	2904.84		248986
# 130300	320130	3754.54		321818
# 130300	320500	3750.99		321514
# 130300	320520	3770.24		323164
# 130300	320530	3764.96		322712
# 130300	330045	3781.73		324149
# 130300	330100	3834.39		328662
# 130300	330170	3792.84		325101
# 130300	330330	3825.60		327909
# 130300	330350	3777.72		323805
# 130300	330390	3767.49		322928
# 130300	330455	3810.88		326647
# 130300	330490	3820.70		327489
# 130300	330510	3789.30		324798
# 130300	350600	3341.34		286401
# 130300	350950	3539.98		303427
# 130300	351060	3642.01		312173
# 130300	351380	3676.68		315145
# 130300	351620	3188.07		273264
# 130300	351870	3743.24		320850
# 130300	351880	3651.60		312995
# 130300	352310	3664.49		314099
# 130300	352590	3589.82		307699
# 130300	352690	3469.79		297411
# 130300	352940	3683.93		315766
# 130300	353060	3679.73		315406
# 130300	353440	3643.70		312317
# 130300	353870	3477.28		298053
# 130300	354100	3733.17		319986
# 130300	354340	3250.38		278605
# 130300	354780	3678.12		315268
# 130300	354850	3728.42		319579
# 130300	354870	3683.85		315759
# 130300	354980	3105.36		266174
# 130300	354990	3654.03		313203
# 130300	355030	3663.03		313975
# 130300	355100	3730.85		319788
# 130300	355220	3599.13		308497
# 130300	355410	3655.45		313325
# 130300	410480	3576.77		306580
# 130300	410690	3786.35		324544
# 130300	411370	3393.08		290836
# 130300	411520	3382.62		289939
# 130300	411990	3698.36		317003
# 130300	412550	3805.70		326203
# 130300	420240	4015.96		344225
# 130300	420540	4137.06		354606
# 130300	420910	3933.45		337154
# 130300	430460	4393.73		376606
# 130300	430510	4279.49		366814
# 130300	431440	4641.75		397865
# 130300	431490	4409.13		377926
# 130300	500270	2861.98		245313
# 130300	510340	2085.29		178740
# 130300	520110	2501.80		214441
# 130300	520140	2549.13		218498
# 130300	520870	2527.05		216605
# 130300	530010	2513.22		215420
# 130360	110020	1312.90		112534
# 130360	120040	1549.67		132830
# 130360	140010	844.18		72359
# 130360	150080	2595.82		222500
# 130360	150140	2577.98		220970
# 130360	150680	1633.40		140006
# 130360	160030	2174.36		186374
# 130360	172100	2993.20		256560
# 130360	211130	3240.97		277798
# 130360	221100	3528.19		302417
# 130360	230370	4132.65		354228
# 130360	230440	4143.10		355123
# 130360	240810	4699.65		402827
# 130360	250400	4645.52		398188
# 130360	250750	4796.14		411098
# 130360	260410	4668.94		400195
# 130360	260790	4822.01		413316
