original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,suburb,district,city,county,state_code,state,country,country_code,attribution,attribution_license,attribution_url
"5,606747","45,971934",0,"160 Rue Du Docteur Delannoy, 01110 Hauteville-Lompnes, France",45.971934,5.606747,"5,60674745,971934",,160,Rue Du Docteur Delannoy,1110,,Hauteville-Lompnes,Hauteville-Lompnes,Ain,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,6146526999","45,9739326",32.2427656863741,"1325 Avenue Felix Mangini, 01110 Hauteville-Lompnes, France",45.974221,5.614696,"5,614652699945,9739326",,1325,Avenue Felix Mangini,1110,,Hauteville-Lompnes,Hauteville-Lompnes,Ain,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,684976","45,761208",3.02806092660491,"42 Rue Georges Girerd, 01300 Belley, France",45.7611861,5.6849528,"5,68497645,761208",,42,Rue Georges Girerd,1300,La Poisate,,Belley,Ain,ARA,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"5,785986","46,005268",2.46814825748986,"MGEN Etablissement de Santé, Rue du Château, 01420 Chanay, France",46.00776715,5.78800294353039,"5,78598646,005268",MGEN Etablissement de Santé,,Rue du Château,1420,,En Trévigne,Chanay,Ain,ARA,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,947957","45,821974",0,"1 Rue De La Chanal, 01700 Miribel, France",45.821974,4.947957,"4,94795745,821974",,1,Rue De La Chanal,1700,,Miribel,Miribel,Ain,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,757789","45,991545",0,"315 Rue Edouard Herriot, 01480 Jassans-Riottier, France",45.991545,4.757789,"4,75778945,991545",,315,Rue Edouard Herriot,1480,,Jassans-Riottier,Jassans-Riottier,Ain,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"6,4254109999","45,752987999",0.803062765135895,"Rue du 11 Novembre, 73400 Ugine, France",45.7529595,6.4259852,"6,425410999945,752987999",Rue du 11 Novembre,,Rue du 11 Novembre,73400,,Pierre Martine,Ugine,Savoy,ARA,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"5,608412","46,149242",1.3075619839882,"45 Rue Paul Painlevé, 01130 Nantua, France",46.149231,5.608418,"5,60841246,149242",,45,Rue Paul Painlevé,1130,,Les Neyrolles,Nantua,Ain,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,209645","46,219243",0.111195080742881,"6 Rue Gay Lussac, 01440 Viriat, France",46.219244,5.209645,"5,20964546,219243",,6,Rue Gay Lussac,1440,,Viriat,Viriat,Ain,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,772192","45,940741",16.268661622981,"3 Rue Des Halles, 01600 Trévoux, France",45.940819,4.77237,"4,77219245,940741",,3,Rue Des Halles,1600,,Trevoux,Trévoux,Ain,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,650452","46,255544",0,"1 Rue Bellevue, 01100 Oyonnax, France",46.255544,5.650452,"5,65045246,255544",,1,Rue Bellevue,1100,,Oyonnax,Oyonnax,Ain,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,640051","49,902845",9.27567542237895,"858 Rue Des Docteurs Devillers, 02120 Guise, France",49.902873,3.640173,"3,64005149,902845",,858,Rue Des Docteurs Devillers,2120,,Guise,Guise,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,360376","49,663239",0.111195080742881,"2 Avenue Dupuis, 02800 La Fère, France",49.66324,3.360376,"3,36037649,663239",,2,Avenue Dupuis,2800,,La Fere,La Fère,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,7785165","50,0119344",10.141096217448,"51 Rue André Ridders, 02170 Le Nouvion-en-Thiérache, France",50.011872,3.77862,"3,778516550,0119344",,51,Rue André Ridders,2170,,Le Nouvion-En-Thierache,Le Nouvion-en-Thiérache,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,269153","49,861845",0,"Centre hospitalier de Saint-Quentin, 1 Avenue Michel de l'Hospital, 02100 Saint-Quentin, France",49.861841,3.269154,"3,26915349,861845",Centre hospitalier de Saint-Quentin,1,Avenue Michel de l'Hospital,2100,,,Saint-Quentin,Aisne,HDF,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,902281","49,831923",0.111195079952792,"24 Place De La Liberté, 02140 Vervins, France",49.831924,3.902281,"3,90228149,831923",,24,Place De La Liberté,2140,,Vervins,Vervins,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,268217","48,998855",5.06568409152765,"Route de Domptin, 02310 Villiers-Saint-Denis, France",49.0034862,3.2657461,"3,26821748,998855",Route de Domptin,,Route de Domptin,2310,,,Villiers-Saint-Denis,Aisne,HDF,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,313265","49,3776382",41.2314633078969,"26 Rue de la Victoire, 02200 Soissons, France",49.377274,3.313372,"3,31326549,3776382",,26,Rue de la Victoire,2200,,,Soissons,Aisne,HDF,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,317233","49,375414",0.132687517322273,"6 Allee Olivier Messiaen, 02200 Soissons, France",49.375415,3.317234,"3,31723349,375414",,6,Allee Olivier Messiaen,2200,,Soissons,Soissons,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,611204","49,562193",4.1356027930631,"33 Rue Marcellin Berthelot, 02000 Laon, France",49.56221,3.611255,"3,61120449,562193",,33,Rue Marcellin Berthelot,2000,,Laon,Laon,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,335824","49,370913",0.111195079952792,"46 Avenue Du Général De Gaulle, 02200 Soissons, France",49.370914,3.335824,"3,33582449,370913",,46,Avenue Du Général De Gaulle,2200,,Soissons,Soissons,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,2352958","49,6267435",0,"Centre Hospitalier de Chauny, 72 Rue des Anciens Combattants AFN et TOM, 02300 Chauny, France",49.625559,3.233895,"3,235295849,6267435",Centre Hospitalier de Chauny,72,Rue des Anciens Combattants AFN et TOM,2300,,,Chauny,Aisne,HDF,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,413934","49,540228",3.70127691342074,"21 Rue Eugène Potelet, 02320 Prémontré, France",49.540255,3.413964,"3,41393449,540228",,21,Rue Eugène Potelet,2320,,Premontre,Prémontré,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,418099","49,59951",2.66107607848418,"Route Forestière du mont Tortu, 02410 Saint-Gobain, France",49.588975,3.4129165,"3,41809949,59951",Route Forestière du mont Tortu,,Route Forestière du mont Tortu,2410,,,Saint-Gobain,Aisne,HDF,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,409843","49,051114",48.0133229413861,"2bis Route De Verdilly, 02400 Brasles, France",49.051036,3.410491,"3,40984349,051114",,2bis,Route De Verdilly,2400,,Chierry,Brasles,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,073615","49,924701",5.23647878035161,"Centre Hospitalier de Hirson, 40 Rue Aux Loups, 02200 Hirson, France",49.9253125,4.0731806280303,"4,07361549,924701",Centre Hospitalier de Hirson,40,Rue Aux Loups,2200,,Hirson,Hirson,Aisne,HDF,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,221738","49,618289",0,"45 Rue Pasteur, 02300 Chauny, France",49.618289,3.221738,"3,22173849,618289",,45,Rue Pasteur,2300,,Chauny,Chauny,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,620531","49,551866",1.78964915342914,"Avenue Georges Pompidou, 02000 Laon, France",49.5507497,3.6192815,"3,62053149,551866",Avenue Georges Pompidou,,Avenue Georges Pompidou,2000,ZAC Île de France,,Laon,Aisne,HDF,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,597104","49,552618",0.222390159905585,"38 Rue Marguerite Clerbout, 02000 Laon, France",49.55262,3.597104,"3,59710449,552618",,38,Rue Marguerite Clerbout,2000,,Laon,Laon,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,288038","49,850076",0.132305978650329,"4 Rue Paul Doumer, 02100 Saint-Quentin, France",49.850077,3.288039,"3,28803849,850076",,4,Rue Paul Doumer,2100,,Dallon,Saint-Quentin,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
