original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,district,state_code,city,county,state,country,country_code,attribution,attribution_license,attribution_url
"-1,382461","47,72606",0,"Centre hospitalier de Châteaubriant, 9 Rue de Verdun, 44110 Châteaubriant, France",47.725316,-1.3813441,"-1,38246147,72606",Centre hospitalier de Châteaubriant,9,Rue de Verdun,44110,Saint-Jean-de-Béré,PDL,Châteaubriant,Loire-Atlantique,Pays de la Loire,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,546456","47,226448",0.234860758022015,"3 Rue De La Béraudière, 44000 Nantes, France",47.226446,-1.546455,"-1,54645647,226448",,3,Rue De La Béraudière,44000,Nantes,PDL,Nantes,Loire-Atlantique,Pays de la Loire,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,52416","47,222658",2.95198616823739,"41 Rue Pierre et Marie Curie, 44000 Nantes, France",47.222684,-1.5241521,"-1,5241647,222658",,41,Rue Pierre et Marie Curie,44000,Toutes-Aides,PDL,Nantes,Loire-Atlantique,Pays de la Loire,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,632972","47,222952",31.4285179150803,"4 Rue Jacques Cartier, 44800 Saint-Herblain, France",47.223045,-1.633365,"-1,63297247,222952",,4,Rue Jacques Cartier,44800,Saint-Herblain,PDL,Saint-Herblain,Loire-Atlantique,Pays de la Loire,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,382461","47,72606",0,"Centre hospitalier de Châteaubriant, 9 Rue de Verdun, 44110 Châteaubriant, France",47.725316,-1.3813441,"-1,38246147,72606",Centre hospitalier de Châteaubriant,9,Rue de Verdun,44110,Saint-Jean-de-Béré,PDL,Châteaubriant,Loire-Atlantique,Pays de la Loire,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,349233","47,239861",3.07114241137796,"Rue Pierre Sécher, 44430 Le Loroux-Bottereau, France",47.2392907,-1.3488697,"-1,34923347,239861",Rue Pierre Sécher,,Rue Pierre Sécher,44430,,PDL,Le Loroux-Bottereau,Loire-Atlantique,Pays de la Loire,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,82028","46,995262",0.692585680118436,"4 Boulevard Des Régents, 44270 Saint-Même-le-Tenu, France",46.995258,-1.820273,"-1,8202846,995262",,4,Boulevard Des Régents,44270,Saint-Meme-Le-Tenu,PDL,Saint-Même-le-Tenu,Loire-Atlantique,Pays de la Loire,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,5667895","46,9582093",4.98067545350125,"23 Bel Air, 44650 Corcoué-sur-Logne, France",46.958189,-1.566848,"-1,566789546,9582093",,23,Bel Air,44650,Corcoue-Sur-Logne,PDL,Corcoué-sur-Logne,Loire-Atlantique,Pays de la Loire,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,6266649","47,562123799",0,"Centre Hospitalier Nozay, 1 Impasse des Amandieres, 44170 Nozay, France",47.5616358,-1.62558176944723,"-1,626664947,562123799",Centre Hospitalier Nozay,1,Impasse des Amandieres,44170,,PDL,Nozay,Loire-Atlantique,Pays de la Loire,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,502732","47,192181",1.16473851422728,"2 Place des Lucines, 44230 Saint-Sébastien-sur-Loire, France",47.1921724,-1.5027232,"-1,50273247,192181",,2,Place des Lucines,44230,L'Ouche Quinet,PDL,Saint-Sébastien-sur-Loire,Loire-Atlantique,Pays de la Loire,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
