original_lon,original_lat,distance,formatted,lat,lon,KEY,housenumber,name,street,postcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
"-1,6422142","47,2327451",0,"23 Rue des Piliers de la Chauvinière, 44800 Saint-Herblain, France",47.2327451,-1.6422142,"-1,642214247,2327451",23,,Rue des Piliers de la Chauvinière,44800,C.H.U.,,Saint-Herblain,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,173409","47,374797",1.20086033411812,"Centre Hospitalier Francis Robert, Boulevard Pasteur, 44150 Ancenis-Saint-Géréon, France",47.3740389,-1.17204013549642,"-1,17340947,374797",,Centre Hospitalier Francis Robert,Boulevard Pasteur,44150,Le Pressoir Rouge,,Ancenis-Saint-Géréon,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,616778","47,175084",7.51483299767221,"6 Rue Galilée, 44340 Bouguenais, France",47.1750166,-1.6167707,"-1,61677847,175084",6,,Rue Galilée,44340,Bouguenais,Parc de la Bouvre,Bouguenais,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,549133799","47,1951381",1.43580650531967,"Hôpital privé du Confluent, Barrage de Pont-Rousseau, 44200 Nantes, France",47.1956298,-1.54771850138686,"-1,54913379947,1951381",,Hôpital privé du Confluent,Barrage de Pont-Rousseau,44200,Pirmil,Nantes Sud,Nantes,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-2,386542","47,297043",7.01160276481274,"90 Avenue des Noëlles, 44500 La Baule-Escoublac, France",47.2970955,-2.3864905,"-2,38654247,297043",90,,Avenue des Noëlles,44500,,,La Baule-Escoublac,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,547525","47,195701",0,"Hôpital privé du Confluent, Barrage de Pont-Rousseau, 44200 Nantes, France",47.1956298,-1.54771850138686,"-1,54752547,195701",,Hôpital privé du Confluent,Barrage de Pont-Rousseau,44200,Pirmil,Nantes Sud,Nantes,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,454032","47,283428",27.8113401967726,"2 Rue Antarès, 44470 Carquefou, France",47.283374,-1.453672,"-1,45403247,283428",2,,Rue Antarès,44470,Carquefou,,Carquefou,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,523879","47,18538",16.4334352234168,"101 Rue Des Bourdonnières, 44200 Nantes, France",47.185273,-1.523729,"-1,52387947,18538",101,,Rue Des Bourdonnières,44200,Nantes,,Nantes,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,48896","47,282309",3.39557097239837,"Rue de la Mainguais, 44470 Carquefou, France",47.2823706,-1.4888265,"-1,4889647,282309",,Rue de la Mainguais,Rue de la Mainguais,44470,La Désirade,,Carquefou,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,571746","47,212693",0.690223728964722,"Place Beaumanoir, 44100 Nantes, France",47.212696,-1.571738,"-1,57174647,212693",,,Place Beaumanoir,44100,Nantes,,Nantes,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,509713899","47,25628",1.29699028990765,"Route de Paris, 44477 Nantes, France",47.2560769,-1.5101856,"-1,50971389947,25628",,Route de Paris,Route de Paris,44477,Le Bois Briand,Doulon - Bottière,Nantes,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-2,2511686","47,2694819",41.2673811303299,"7 Chemin De l’Ile Des Liards, 44600 Saint-Nazaire, France",47.269608,-2.251683,"-2,251168647,2694819",7,,Chemin De l’Ile Des Liards,44600,Saint-Nazaire,,Saint-Nazaire,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"5,8490243","45,2566002",21.7247009896827,"34 Impasse Côté Jardin, 38330 Saint-Nazaire-les-Eymes, France",45.256681,5.849277,"5,849024345,2566002",34,,Impasse Côté Jardin,38330,Saint-Nazaire-Les-Eymes,,Saint-Nazaire-les-Eymes,Isère,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-1,557262","47,211138",1.55700713839724,"5 Allée de l'Île Gloriette, 44000 Nantes, France",47.2111375,-1.5572414,"-1,55726247,211138",5,,Allée de l'Île Gloriette,44000,Feydeau,Centre Ville,Nantes,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-1,5365669","47,1958635",0,"Rue Saint-Jacques, 44200 Nantes, France",47.1958635,-1.5365669,"-1,536566947,1958635",,Saint-Jacques,Rue Saint-Jacques,44200,Saint-Jacques,Nantes Sud,Nantes,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
