original_lon,original_lat,distance,formatted,lat,lon,KEY,housenumber,name,street,suburb,district,postcode,city,state_code,county,state,country,country_code,attribution,attribution_license,attribution_url
"-0,481733","46,34273",0,"74 Rue De La Verrerie, 79000 Niort, France",46.34273,-0.481733,"-0,48173346,34273",74,,Rue De La Verrerie,,Niort,79000,Niort,,Deux-Sèvres,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-0,183889","46,973412",0,"Centre hospitalier de Thouars, Rue de la Maison Sèche, 79100 Thouars, France",46.9725185,-0.181954252977268,"-0,18388946,973412",,Centre hospitalier de Thouars,Rue de la Maison Sèche,,Thouars,79100,Thouars,,Deux-Sèvres,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-0,458518","46,315555",0,"Centre hospitalier de Niort, Avenue Charles de Gaulle, 79000 Niort, France",46.3173671,-0.462575757327586,"-0,45851846,315555",,Centre hospitalier de Niort,Avenue Charles de Gaulle,Saint-Florent,,79000,Niort,,Deux-Sèvres,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-0,377151899","46,4206241",0,"Le Logis des Francs, Chemin de l'Ourière, 79410 Cherveux, France",46.4213226,-0.376916105133535,"-0,37715189946,4206241",,Le Logis des Francs,Chemin de l'Ourière,,,79410,Cherveux,,Deux-Sèvres,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-0,452076","46,315664",0.111195080742881,"84 Route d’Aiffres, 79000 Niort, France",46.315665,-0.452076,"-0,45207646,315664",84,,Route d’Aiffres,,Niort,79000,Niort,,Deux-Sèvres,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-0,457785199","46,3166645",3.38722513139572,"Centre hospitalier de Niort, Avenue Charles de Gaulle, 79000 Niort, France",46.3173671,-0.462575757327586,"-0,45778519946,3166645",,Centre hospitalier de Niort,Avenue Charles de Gaulle,Saint-Florent,,79000,Niort,,Deux-Sèvres,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-0,493791","46,845284",6.01110542606718,"Rue des Cailloux, 79300 Bressuire, France",46.8447429,-0.4924836,"-0,49379146,845284",,Rue des Cailloux,Rue des Cailloux,,Bressuire,79300,Bressuire,,Deux-Sèvres,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-0,241823899","46,6508632",1.13109051269428,"Boulevard Edgard Quinet, 79200 Parthenay, France",46.6508423,-0.2418244,"-0,24182389946,6508632",,Boulevard Edgard Quinet,Boulevard Edgard Quinet,,,79200,Parthenay,,Deux-Sèvres,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-0,226376","46,653026",0.0763259473772182,"1bis Rue De Brossard, 79200 Parthenay, France",46.653026,-0.226377,"-0,22637646,653026",1bis,,Rue De Brossard,,Parthenay,79200,Parthenay,,Deux-Sèvres,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,830943","50,102017",0.177262252074975,"Centre hospitalier d'Abbeville, Avenue du Rivage, 80100 Abbeville, France",50.10241735,1.83160441482396,"1,83094350,102017",,Centre hospitalier d'Abbeville,Avenue du Rivage,,Abbeville,80100,Abbeville,HDF,Somme,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,656319","50,004073",5.11179867527106,"86 Avenue de la République, 80300 Albert, France",50.0040289,2.6562988,"2,65631950,004073",86,,Avenue de la République,,,80300,Albert,HDF,Somme,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,653944","50,001344",3.02263174247742,"2 Rue Tien Tsin, 80300 Albert, France",50.001361,2.653911,"2,65394450,001344",2,,Rue Tien Tsin,,Albert,80300,Albert,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,289994","49,90743",10.3894507700596,"5 Rue Terral, 80080 Amiens, France",49.907408,2.290135,"2,28999449,90743",5,,Rue Terral,,Saveuse,80080,Amiens,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,515595","49,914477",32.4901285128152,"86 Rue Gambetta, 80800 Corbie, France",49.91473,2.515822,"2,51559549,914477",86,,Rue Gambetta,,Corbie,80800,Corbie,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,346602","50,155128",3.15516109316392,"3 Rue De Routequeue, 80600 Doullens, France",50.155137,2.34656,"2,34660250,155128",3,,Rue De Routequeue,,Doullens,80600,Doullens,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,086108","49,742577",3.20391324013735,"47 Rue De Verdun, 80400 Ham, France",49.742594,3.086072,"3,08610849,742577",47,,Rue De Verdun,,Ham,80400,Ham,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,574061","49,647854",0,"Centre hospitalier de Montdidier, Rue Saint-Exupéry, 80500 Montdidier, France",49.64878655,2.57388560948306,"2,57406149,647854",,Centre hospitalier de Montdidier,Rue Saint-Exupéry,,,80500,Montdidier,HDF,Somme,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,930934","49,934808",0,"1 Place Du Jeu De Paume, 80200 Péronne, France",49.934808,2.930934,"2,93093449,934808",1,,Place Du Jeu De Paume,,Peronne,80200,Péronne,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,79018","49,700114",18.1188346068397,"10ter Rue Bertin, 80700 Roye, France",49.700128,2.790431,"2,7901849,700114",10ter,,Rue Bertin,,Roye,80700,Roye,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,2780156","49,8732672",4.64681419386905,"Hôpital Psychiatrique Philippe Pinel, 74410 Route d'Amiens, 80044 Amiens, France",49.87049215,2.27526964265902,"2,278015649,8732672",74410,Hôpital Psychiatrique Philippe Pinel,Route d'Amiens,,,80044,Amiens,HDF,Somme,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
