original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,suburb,district,city,state_code,county,state,country,country_code,attribution,attribution_license,attribution_url
"2,839799","47,333841",28.5874804405995,"6 Rempart Des Augustins, 18300 Sancerre, France",47.333978,2.839478,"2,83979947,333841",,6,Rempart Des Augustins,18300,,Sancerre,Sancerre,,Cher,Centre,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,498375","46,725177",0,"1 Place De Juillet, 18200 Saint-Amand-Montrond, France",46.725177,2.498375,"2,49837546,725177",,1,Place De Juillet,18200,,Saint-Amand-Montrond,Saint-Amand-Montrond,,Cher,Centre,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,110924","47,2263",0,"11 Chemin De La Gaillardière, 18100 Vierzon, France",47.2263,2.110924,"2,11092447,2263",,11,Chemin De La Gaillardière,18100,,Vierzon,Vierzon,,Cher,Centre,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,358149","47,10799",0,"251 Route De Varye, 18230 Saint-Doulchard, France",47.10799,2.358149,"2,35814947,10799",,251,Route De Varye,18230,,Saint-Doulchard,Saint-Doulchard,,Cher,Centre,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,395872","47,093782",0.593480079714108,"Hôpital Taillegrain - Centre de gérontologie des Prés Fichaux, Avenue Pierre Semard, 18000 Bourges, France",47.0931192,2.39724389941806,"2,39587247,093782",Hôpital Taillegrain - Centre de gérontologie des Prés Fichaux,,Avenue Pierre Semard,18000,,Quartier Henri Laudier,Bourges,,Cher,Centre-Loire Valley,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,062792","47,210491",4.3380882561738,"Avenue du 14 Juillet, 18100 Vierzon, France",47.2106819,2.0629252,"2,06279247,210491",Avenue du 14 Juillet,,Avenue du 14 Juillet,18100,,,Vierzon,,Cher,Centre-Loire Valley,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,507762","46,73732",0,"2 Rue De La Croix Duchet, 18200 Saint-Amand-Montrond, France",46.73732,2.507762,"2,50776246,73732",,2,Rue De La Croix Duchet,18200,,Saint-Amand-Montrond,Saint-Amand-Montrond,,Cher,Centre,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,356545","47,106448",1.88310972637933,"210 Route De Vouzeron, 18230 Saint-Doulchard, France",47.106462,2.356531,"2,35654547,106448",,210,Route De Vouzeron,18230,,Saint-Doulchard,Saint-Doulchard,,Cher,Centre,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,050624","47,228172",0,"5 Rue Blanqui, 18100 Vierzon, France",47.228172,2.050624,"2,05062447,228172",,5,Rue Blanqui,18100,,Vierzon,Vierzon,,Cher,Centre,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,848741","47,505722",0.111195080742881,"2 Place Jean Moulin, 18240 Belleville-sur-Loire, France",47.505723,2.848741,"2,84874147,505722",,2,Place Jean Moulin,18240,,Belleville-Sur-Loire,Belleville-sur-Loire,,Cher,Centre,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
