original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
"4,878857","45,741398",0,"Centre de lutte contre le cancer Léon Bérard, Rue Seignemartin, 69008 Lyon, France",45.74122875,4.87775658369533,"4,87885745,741398",Centre de lutte contre le cancer Léon Bérard,,Rue Seignemartin,69008,,Transvaal,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,631202","45,582237",2.14293256610602,"Place Charles de Gaulle, 69440 Chabanière, France",45.5821898,4.6312582,"4,63120245,582237",Place Charles de Gaulle,,Place Charles de Gaulle,69440,Les Combes Sud,,Chabanière,Rhône,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,885607","45,758147",2.86499723507407,"4 Place Jules Grandclément, 69100 Villeurbanne, France",45.7581315,4.8855775,"4,88560745,758147",,4,Place Jules Grandclément,69100,,Grandclément,Villeurbanne,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,851273","45,739454",1.52783517316491,"61 Rue Paul Duvivier, 69007 Lyon, France",45.7394653,4.8512842,"4,85127345,739454",,61,Rue Paul Duvivier,69007,,Jean-Macé,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,896946","45,748102",2.36411013553031,"Boulevard Pinel, 69500 Bron, France",45.7480058,4.8969621,"4,89694645,748102",Boulevard Pinel,,Boulevard Pinel,69500,,,Bron,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,719591","45,989577",4.99120082267056,"Eureka, 52 Rue des Marais, 69400 Villefranche-sur-Saône, France",45.9896075,4.7196384,"4,71959145,989577",Eureka,52,Rue des Marais,69400,Villefranche-sur-Saône,,Villefranche-sur-Saône,Rhône,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,925119","45,715901",67.0709057624229,"25 Rue André Lwoff, 69800 Saint-Priest, France",45.716499,4.925006,"4,92511945,715901",,25,Rue André Lwoff,69800,Saint-Priest,,Saint-Priest,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,865801","45,738708",0,"École maternelle Combe Blanche, Cazeneuve - Berliet, 69008 Lyon, France",45.73899025,4.86602916695484,"4,86580145,738708",École maternelle Combe Blanche,,Cazeneuve - Berliet,69008,,Le Bachut,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,859086","45,735139",0.133837204561746,"124 Rue Villon, 69008 Lyon, France",45.7351401,4.8590867,"4,85908645,735139",,124,Rue Villon,69008,,Monplaisir,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,8656","45,69035",36.7813130944948,"17 Impasse Des Paquerettes, 69200 Vénissieux, France",45.690493,4.865173,"4,865645,69035",,17,Impasse Des Paquerettes,69200,Venissieux,,Vénissieux,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,883657","45,741427",11.903080840049,"22 Avenue Rockefeller, 69003 Lyon, France",45.7415336,4.883643,"4,88365745,741427",,22,Avenue Rockefeller,69003,,Grange Blanche,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,824248","45,703578",31.7658923555088,"1 Rue Paul Bert, 69310 Pierre-Bénite, France",45.703529,4.823845,"4,82424845,703578",,1,Rue Paul Bert,69310,Pierre-Benite,,Pierre-Bénite,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
