unit,wstatus,isco08,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
HAB_P,LIC,OC2221_3221,UK	: 	: 	: 	101.83 	101.99 	100.84 	100.06 	100.24 	100.48 	100.37 	100.15 	99.78 	99.51 	98.93 	96.24 	94.46 	94.87 	95.90 	97.61 	100.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2222_3222,AT	3228.28 	3364.85 	3404.88 	3553.26 	3639.87 	3706.69 	3815.76 	3865.38 	3902.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2222_3222,BE	787.93 	818.97 	850.22 	882.19 	916.10 	959.64 	1010.23 b	961.08 	999.59 	1041.34 	1083.46 	1119.11 	1151.38 	1187.49 	1221.49 	1247.39 	1284.14 	1315.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2222_3222,CY	: 	: 	2738.98 	2929.52 	2933.51 	3107.89 	3324.17 	3465.46 	3532.54 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2222_3222,CZ	: 	: 	: 	: 	: 	1465.10 b	1830.91 	1766.29 	1621.32 	1680.38 	1585.99 	1664.72 	1709.32 	1754.16 	1800.18 	1847.18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2222_3222,DK	: 	: 	1466.81 	1515.47 	1564.44 	1613.98 	1664.76 	1713.78 	1781.39 	1843.58 	1914.94 	1994.13 	2096.85 	2189.57 	2261.46 	2344.66 	2432.42 	2499.78 	2541.52 	2617.30 	2706.46 	2789.77 	2906.50 	3013.76 	3160.88 	3318.46 	3458.94 	3597.91 	3759.88 	3870.79 	3961.80 	4060.77 	4169.45 	4285.31 	4412.24 	4543.51 	4636.17 	4882.16 	5155.54 	5432.92 	5761.05 	6113.40 
HAB_P,LIC,OC2222_3222,EE	: 	1297.09 	1328.23 	1360.06 	1401.47 	1465.24 	1515.45 	1609.97 	1713.91 	1842.19 	1949.25 	2080.43 	2187.73 	2281.72 	2437.60 	2605.05 	2840.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2222_3222,ES	: 	4937.29 	4920.64 	5066.89 	5169.56 	5291.30 	5434.05 	5465.12 	5631.12 	5915.40 	6060.25 	6144.71 	6304.45 	6367.48 	6408.79 	6464.37 	6444.22 	6408.17 	6237.09 	6328.33 	6320.66 	6300.34 	6366.15 	6297.72 	6572.17 	6317.68 	6542.17 	6478.15 	6338.37 	6094.58 	6234.62 	6148.92 	6254.47 	6162.29 	6712.62 	6322.24 	6197.76 	6643.04 	7009.09 	7763.34 	8411.37 	8943.50 
HAB_P,LIC,OC2222_3222,FI	: 	805.82 	811.40 	821.99 	829.55 	836.55 	841.84 	858.05 	868.15 	873.78 	871.32 	866.87 	865.72 	870.76 	870.43 	878.15 	871.88 	877.21 	875.40 	876.55 	881.71 	889.54 	906.54 	918.95 	942.57 	953.59 	955.62 	984.39 b	2982.02 	3325.85 	3804.05 	3941.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2222_3222,HR	1582.26 	1568.10 	1553.55 	1561.40 	1582.32 	1621.62 	1682.52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2222_3222,HU	: 	1542.75 	1589.32 	1622.50 	1652.81 	1695.87 	1747.39 	1799.79 	1870.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2222_3222,IE	490.68 d	474.01 d	462.75 d	: 	451.61 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2222_3222,IS	: 	662.68 	668.95 	666.77 	661.66 	643.84 b	649.93 	660.05 	662.09 	668.16 	684.58 	691.39 	710.94 	724.69 	748.96 	765.19 	755.05 	762.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2222_3222,IT	2847.01 	2858.15 	2842.48 	2917.37 	2980.49 	3025.48 	3093.13 	3161.98 	3219.69 	3288.76 	3332.37 	3440.36 	3498.22 	3567.63 	3664.53 	3725.27 	3802.03 	3926.04 	3945.29 	3889.24 	3887.16 	3839.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2222_3222,LI	1562.20 ep	1691.35 ep	1752.84 e	1912.30 e	1998.00 e	2095.33 e	2083.00 e	1960.39 be	1479.34 e	1527.35 e	1578.78 e	1715.31 be	2978.46 e	1970.69 e	2074.24 e	1946.47 e	2044.26 e	2152.94 d	2129.91 de	1982.00 de	1844.11 e	2176.30 be	4027.56 	3958.44 	3903.94 e	3879.13 	3847.00 	4352.79 	3761.13 	4232.43 	4172.71 	3592.75 	4045.21 	5589.50 	4592.75 	4539.58 	5375.60 	6649.00 	6611.50 	6563.75 	12836.25 	: 
HAB_P,LIC,OC2222_3222,LT	2345.37 	2464.63 	2485.89 	2492.48 	2427.81 	2380.27 	2470.16 	2561.02 	2655.02 	2769.02 	2889.42 b	: 	: 	: 	: 	2467.86 	2546.00 	2659.11 	2810.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2222_3222,LU	: 	: 	: 	: 	1352.24 	1409.32 	1438.39 	1483.52 	1526.29 	1552.47 	1599.83 	1630.07 	1605.75 	1546.36 	1599.98 	1670.09 	1710.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2222_3222,LV	: 	3060.30 	3111.90 	3133.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2222_3222,MT	: 	1238.78 	1272.88 	1230.03 	1228.34 	1261.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
