unit,facility,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
HAB_P,HBEDI_PSY,LU	: 	1232.61 	1348.00 	1322.25 	1290.84 	1260.18 	1230.79 	1202.12 	1159.27 	1141.73 	1136.67 	1116.11 	1131.13 	1111.09 	1094.07 	1029.11 	914.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,LV	: 	839.40 	816.60 	799.28 	783.81 	792.28 	793.39 	797.40 	777.94 	775.20 	784.13 	707.29 	621.03 	626.87 	628.25 	627.64 	623.11 	630.12 	624.20 	582.40 	537.22 b	542.31 	505.14 	510.35 	505.71 	457.15 	452.72 	441.57 	443.56 	416.82 	384.07 	378.02 	484.20 	480.18 	475.30 	486.12 	: 	: 	: 	: 	486.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,ME	: 	1980.98 	1981.75 	2027.27 	2027.04 	2026.57 	2025.44 	1997.45 	1995.50 	1993.82 	1991.72 	1987.39 	1981.83 	1977.76 	1877.27 	1639.74 	1642.94 	1639.04 	1634.01 	1627.95 	1620.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,MK	: 	2070.48 	1990.62 	1988.98 	1987.05 	1984.88 	2040.94 	1829.82 	1775.23 	1793.15 	1807.39 	1763.26 	1752.48 	1749.62 	1710.17 	1649.28 	1565.90 	1492.47 	1486.93 	1468.17 	1413.07 	1373.14 	1366.59 	1416.22 	1329.89 	1288.18 	1288.55 	1303.04 	1274.05 	1169.89 	1158.86 	1215.09 	1277.46 	1266.87 	1279.66 	1280.60 	: 	: 	: 	: 	1244.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,MT	: 	1115.18 	952.12 	869.89 	800.27 	782.17 	762.38 	693.76 	709.51 	698.44 	688.55 	640.49 	589.88 	586.90 	590.83 	588.68 	621.16 	701.73 	718.64 	698.10 	579.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,NL	: 	1248.28 	1157.42 	1068.44 	1026.60 	1010.92 	974.86 	913.28 	895.99 b	798.71 	738.46 	709.46 	715.03 	724.85 	723.28 b	722.12 	720.43 	724.34 	655.00 	649.62 b	642.34 	604.62 	601.74 	585.61 	582.21 	585.19 b	576.61 	572.52 	572.08 	566.38 	563.08 	612.53 	603.29 	594.52 	596.96 	597.49 	593.91 	580.23 	573.38 	571.01 	573.21 	567.39 	558.18 	547.57 	535.70 	520.27 	505.70 	491.11 	479.79 	480.74 	486.84 	484.13 	482.19 	475.40 	464.79 	457.05 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,NO	: 	963.24 	949.23 	932.82 	903.59 	879.72 	860.80 	863.73 	826.10 	771.51 	748.97 	727.77 	714.23 	676.51 	654.22 	644.99 	656.93 	810.38 	789.11 b	1375.30 	1444.97 	1416.03 	1389.17 	1450.50 	1454.14 	1400.77 	1365.86 	1291.79 	1294.99 	1229.23 	1127.45 	956.31 	843.92 	813.78 	819.22 	789.30 	: 	: 	: 	: 	521.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,PL	: 	1580.18 	1606.92 	1535.20 	1516.74 	1530.91 	1534.59 	1562.10 	1564.65 b	1567.81 	1578.74 	1556.80 	1542.74 	1501.99 	1470.93 	1483.82 	1457.84 	1399.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,PT	: 	1586.16 	1572.21 	1568.02 	1556.68 	1570.83 e	1587.22 	1543.06 	1594.85 	1555.33 	1548.95 	1521.05 	1487.49 	1455.00 	1431.02 	1400.26 	1368.47 	1366.27 	1399.55 	1329.24 	1294.49 	1245.92 b	1207.25 	1180.96 	1147.28 	1073.81 	1070.44 	1387.84 	1370.30 	1160.44 	1131.27 	1136.42 	1132.80 	1099.66 	1116.36 	1182.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,RO	: 	1166.33 	1170.37 	1173.75 	1178.73 	1180.56 	1186.26 	1188.09 	1198.14 	1246.32 	1275.08 	1252.28 	1279.66 	1279.96 	1273.31 	1311.41 	1316.87 	1312.37 	1204.99 	1207.95 	1226.46 	1125.12 b	1129.89 	1120.97 	1128.47 	1130.37 	1125.26 	1114.86 	1109.89 	1047.39 	1048.39 	1048.84 	1041.26 	1034.04 	1018.68 	1014.32 	: 	: 	: 	: 	995.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,RS	: 	1285.68 	1287.12 	1298.72 	1316.36 	1320.81 	1324.40 	1326.94 	1338.62 	1303.21 	1309.90 	1355.71 	1372.85 	1342.11 	1313.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,SE	: 	2463.78 	2442.44 	2342.81 	2312.53 	2257.36 	2219.30 	2184.88 	2169.91 b	2126.76 	2104.13 	2071.40 	2081.65 	2047.93 	2028.26 	2077.20 	1995.46 	1944.90 	1840.20 	1704.86 b	1594.27 	1530.91 	1507.32 	1411.53 	1215.09 	1054.34 	896.27 	802.44 	731.73 	664.92 	588.92 	546.70 	500.86 	471.31 	436.18 	399.43 	349.50 	341.94 	335.02 	321.96 	308.23 	295.95 	277.64 	269.42 	262.29 	253.86 	246.29 	239.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,SI	: 	1531.07 	1523.80 	1516.06 	1511.74 	1492.07 	1510.61 	1509.12 	1501.58 	1527.41 	1536.82 	1523.28 	1446.90 	1468.46 	1403.40 	1359.02 	1357.59 	1356.72 	1350.39 	1331.59 	1304.21 	1290.20 	1251.82 	1254.55 	1243.67 	1248.35 	1248.08 	1249.53 	1236.99 	1238.80 	1238.02 	1236.90 	1236.18 	1232.82 	1218.07 	1203.00 	: 	: 	: 	: 	1046.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,SK	: 	1239.58 	1234.26 	1227.82 	1230.08 	1237.46 	1222.90 	1225.58 	1287.83 	1301.44 	1249.17 	1242.25 	1228.42 	1207.78 	1190.31 	1193.43 	1150.63 	1112.27 	1062.63 	1075.13 	1071.10 	1080.28 	1079.18 	1075.58 	1104.72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,TR	: 	21001.89 	20943.45 	19983.25 	18216.44 	18487.00 	18122.07 	17337.80 	17112.64 	16341.62 	15588.69 	15191.73 	16299.99 	20005.16 	15596.50 	16931.07 	17275.42 	16098.95 	15152.09 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
