isco08,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
HOSP,FTE_HTHAB,CZ	: 	1412.83 	1400.43 	1379.11 	1367.10 	1336.20 b	1316.37 	1280.44 e	1274.49 	1283.91 	1280.35 	1291.38 	1285.12 	1255.07 	1257.57 	1262.14 	1271.34 	1266.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,DE	: 	1293.88 	1262.44 	1233.93 	1213.45 	1199.78 	1197.26 	1195.32 	1189.15 	1176.24 	1163.50 	1143.04 	1120.85 	1104.61 	1095.22 	1092.55 	1097.38 	1111.30 	1137.71 	1152.89 	1154.83 	1156.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,DK	1978.67 	1870.20 	1832.93 	1820.26 	1810.62 	1809.42 b	1874.29 	1897.38 	1885.35 	1846.89 	1841.43 	1871.14 	1851.28 	1740.11 	1742.11 	1745.32 	1715.33 	1714.25 	1696.03 	1709.03 	1683.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,EE	: 	1018.02 	994.67 	972.36 	977.38 	972.06 	992.48 	987.22 	967.88 b	1380.22 	1324.53 	1309.52 	1316.98 	1339.26 	1315.25 	1278.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,FR	: 	: 	1754.85 	1753.97 	1747.98 	1745.52 	1741.05 	1742.64 	1742.07 b	1758.05 	1736.45 b	1876.17 	1863.18 	1854.06 	1844.46 	1835.18 	1822.45 	1814.98 	1787.59 	1800.82 	1709.51 	1669.63 b	1702.58 	1696.08 	1685.58 	1716.65 	1686.25 	1649.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,HU	: 	1012.74 	1002.61 	1031.10 	1025.47 	1014.43 	1014.67 	1014.18 	1036.02 	955.06 	1003.44 	948.28 	872.54 	911.21 	874.60 	998.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,IE	1400.65 	1292.69 	1258.12 	1201.36 	1170.28 	1138.59 	1117.45 	1068.04 	1036.70 	1049.86 	1074.09 	1091.27 	1124.45 	1152.45 	1192.17 	1168.49 	1150.26 	1125.95 	1111.11 	1118.32 	1070.25 	981.32 	910.54 	881.76 	879.89 	864.52 	870.61 	860.10 	832.46 	815.50 	801.10 	792.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,IS	: 	1533.60 	1522.79 	1514.81 	1500.75 	1504.51 	1472.46 	1442.77 	1429.91 	1438.99 	1464.87 	1484.26 	1522.27 	1587.48 	1603.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,LI	609.78 	594.07 	512.93 	394.94 	537.17 	442.78 	456.34 	453.86 	415.86 	401.35 	389.60 	400.62 	337.81 	378.72 	374.03 	376.66 	365.15 	348.07 	351.78 	355.29 	335.24 	339.97 	342.02 	342.31 	361.49 	346.73 	347.67 	354.45 	365.58 	377.36 	369.41 	361.84 	345.73 	316.67 	315.71 	301.79 	275.32 	261.32 	237.09 	218.63 	163.60 	122.30 
HOSP,FTE_HTHAB,LT	: 	1561.89 	1628.41 	1632.74 	1613.53 	1603.36 	1581.46 	1573.61 	1582.96 	1586.33 	1550.90 	1488.08 	1485.12 	1532.28 	1462.23 	1434.26 	1414.68 	1402.63 	1410.13 	1442.49 	1459.28 	1506.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1122.89 e	1122.10 	1112.69 	1119.19 	1113.31 	1094.04 	1064.60 	1039.58 	1019.48 	994.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,MT	: 	1914.40 	1888.64 	1951.01 	1904.85 	1859.89 	1922.12 	1807.70 	1693.76 	1668.14 	1620.00 	1524.99 	1327.77 b	: 	1489.16 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,NL	: 	1223.08 	1161.83 	1255.96 	1182.21 	1166.43 	1250.91 	1214.67 b	1281.10 	1285.57 b	1224.94 	1211.41 	1187.27 	1153.26 	1134.68 	1109.38 b	1022.04 	1082.13 	1067.16 	1005.76 b	1225.34 	1202.96 	1185.73 	1167.14 	1111.42 	1094.61 	1093.47 	1087.06 	1112.14 	1127.06 	1117.33 	1109.06 	1098.65 	1093.26 	1098.99 	1097.58 	1092.68 	1091.46 	1098.92 	1117.27 	1112.72 	1105.29 
HOSP,FTE_HTHAB,NO	2003.55 	1940.64 	1906.19 	1891.84 	1875.02 	1873.47 	1871.33 b	1803.03 	1810.78 	1849.57 	1944.87 	1962.94 	1983.71 b	2010.96 	2053.11 	2050.43 	2051.87 	2036.49 b	2005.89 	1955.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,RO	: 	1003.47 	967.33 	905.30 	890.43 	844.05 	809.58 	775.10 	761.25 	750.27 	747.96 	774.53 	766.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,RS	974.66 	938.09 b	: 	899.69 	897.01 	886.98 	901.50 	899.72 	906.46 	894.88 	879.94 	869.19 	848.90 	850.04 	799.33 	772.95 	784.44 	816.54 	789.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,SK	: 	804.25 	793.44 	776.38 	762.21 	763.09 	762.29 	761.50 	752.28 	744.45 	744.32 	769.37 	748.59 b	718.92 	739.46 	702.14 	721.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,FTE_HTHAB,UK	: 	: 	: 	1982.63 	1952.88 	1955.81 	1928.25 	1902.47 	1878.17 	1868.92 	1934.90 	1996.92 	1998.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,AT	: 	61.75 	62.03 	62.39 	62.57 	62.54 	62.20 	62.41 	62.43 	62.42 	62.56 	63.01 	63.24 	64.07 	65.07 e	65.56 e	65.53 e	65.65 e	65.73 e	65.97 e	66.37 e	66.24 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,BE	: 	: 	77.14 e	74.82 e	76.32 e	76.03 e	76.50 e	76.53 e	76.35 e	75.99 e	76.94 e	77.72 e	78.02 e	79.10 e	79.12 e	80.38 e	81.58 	80.62 	81.66 	84.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,CH	: 	49.47 	50.17 	50.57 	51.08 	51.70 	52.53 	53.72 	54.52 	55.51 	55.99 	56.21 b	56.32 e	57.49 e	57.65 e	58.36 e	59.16 e	59.89 e	59.44 e	60.71 e	62.03 e	62.42 e	63.42 e	63.51 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,CZ	: 	70.78 	71.41 	72.51 	73.15 	74.84 b	75.97 	78.10 e	78.46 	77.89 	78.10 	77.44 	77.81 	79.68 	79.52 	79.23 	78.66 	78.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,DE	: 	77.29 	79.21 	81.04 	82.41 	83.35 	83.52 	83.66 	84.09 	85.02 	85.95 	87.49 	89.22 	90.53 	91.31 	91.53 	91.13 	89.99 	87.90 	86.74 	86.59 	86.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,DK	50.54 	53.47 	54.56 	54.94 	55.23 	55.27 b	53.35 	52.70 	53.04 	54.15 	54.31 	53.44 	54.02 	57.47 	57.40 	57.30 	58.30 	58.33 	58.96 	58.51 	59.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,EE	: 	98.23 	100.54 	102.84 	102.31 	102.87 	100.76 	101.29 	103.32 b	72.45 	75.50 	76.36 	75.93 	74.67 	76.03 	78.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,FR	: 	: 	56.99 	57.01 	57.21 	57.29 	57.44 	57.38 	57.40 b	56.88 	57.59 b	53.30 	53.67 	53.94 	54.22 	54.49 	54.87 	55.10 	55.94 	55.53 	58.50 	59.89 b	58.73 	58.96 	59.33 	58.25 	59.30 	60.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,HU	: 	98.74 	99.74 	96.98 	97.52 	98.58 	98.55 	98.60 	96.52 	104.71 	99.66 	105.45 	114.61 	109.74 	114.34 	100.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,IE	71.40 	77.36 	79.48 	83.24 	85.45 	87.83 	89.49 	93.63 	96.46 	95.25 	93.10 	91.64 	88.93 	86.77 	83.88 	85.58 	86.94 	88.81 	90.00 	89.42 	93.44 	101.90 	109.83 	113.41 	113.65 	115.67 	114.86 	116.26 	120.13 	122.62 	124.83 	126.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,IS	: 	65.21 	65.67 	66.01 	66.63 	66.47 	67.91 	69.31 	69.93 	69.49 	68.27 	67.37 	65.69 	62.99 	62.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,LI	163.99 	168.33 	194.96 	253.20 	186.16 	225.84 	219.14 	220.33 	240.46 	249.16 	256.68 	249.61 	296.02 	264.05 	267.36 	265.49 	273.86 	287.30 	284.27 	281.46 	298.29 	294.15 	292.38 	292.14 	276.63 	288.41 	287.63 	282.13 	273.54 	265.00 	270.70 	276.37 	289.24 	315.79 	316.74 	331.36 	363.22 	382.68 	421.79 	457.40 	611.25 	817.69 
HOSP,HAB_FTE,LT	: 	64.03 	61.41 	61.25 	61.98 	62.37 	63.23 	63.55 	63.17 	63.04 	64.48 	67.20 	67.33 	65.26 	68.39 	69.72 	70.69 	71.29 	70.92 	69.32 	68.53 	66.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	89.06 e	89.12 	89.87 	89.35 	89.82 	91.40 	93.93 	96.19 	98.09 	100.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,MT	: 	52.24 	52.95 	51.26 	52.50 	53.77 	52.03 	55.32 	59.04 	59.95 	61.73 	65.57 	75.31 b	: 	67.15 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,NL	: 	81.76 	86.07 	79.62 	84.59 	85.73 	79.94 	82.33 b	78.06 	77.79 b	81.64 	82.55 	84.23 	86.71 	88.13 	90.14 b	97.84 	92.41 	93.71 	99.43 b	81.61 	83.13 	84.34 	85.68 	89.97 	91.36 	91.45 	91.99 	89.92 	88.73 	89.50 	90.17 	91.02 	91.47 	90.99 	91.11 	91.52 	91.62 	91.00 	89.50 	89.87 	90.47 
HOSP,HAB_FTE,NO	49.91 	51.53 	52.46 	52.86 	53.33 	53.38 	53.44 b	55.46 	55.22 	54.07 	51.42 	50.94 	50.41 b	49.73 	48.71 	48.77 	48.74 	49.10 b	49.85 	51.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HOSP,HAB_FTE,RO	: 	99.65 	103.38 	110.46 	112.31 	118.48 	123.52 	129.02 	131.36 	133.29 	133.70 	129.11 	130.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
