owner,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
PRV_NP,NR,DE	: 	184177.00 	189580.00 	190461.00 	191111.00 	193358.00 	193286.00 	195052.00 	197267.00 	198412.00 	198911.00 	200672.00 	202121.00 	204763.00 	204905.00 	207821.00 	212162.00 	217687.00 	226311.00 	231095.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,DK	633.00 	632.00 	628.00 	612.00 	643.00 	632.00 	655.00 	612.00 	570.00 	565.00 	558.00 	468.00 	460.00 	446.00 	604.00 	627.00 	562.00 	475.00 	446.00 	456.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,EE	: 	152.00 	150.00 	148.00 	152.00 	147.00 	154.00 	158.00 	153 b	508.00 	406.00 	376.00 	371.00 	374.00 	334.00 	299.00 	299.00 	205.00 	149.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,EL	: 	: 	823.00 	828.00 	894.00 	899.00 	881.00 	884.00 	924.00 	1310.00 	1314.00 	1368 b	1465.00 	1597.00 	1607.00 	1566.00 	1568.00 	1548.00 	1420.00 	1179.00 	1052.00 	629.00 	293.00 	293.00 	293.00 	284.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,ES	: 	17281 p	17525.00 	17401.00 	16903.00 	16899.00 	16754.00 	17218.00 	17243.00 	17271.00 	18436.00 	19047 b	19757.00 	19783.00 	19733.00 	21275.00 	21335.00 	20941.00 	21813.00 	22298.00 	22392.00 	22755.00 	22867.00 	22569.00 	22940.00 	22877.00 	20111.00 	22628.00 	23528.00 	23992.00 	25531.00 	24596.00 	25708.00 	25898.00 	25974.00 	26153.00 	26282.00 	: 	: 	: 	: 	26495.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,FR	: 	55625.00 	56385.00 	56270.00 	56482.00 	56994.00 	57384.00 	57176.00 	58241.00 	58137.00 	57997.00 	58818.00 	59914.00 	61432.00 	62255.00 	62923.00 	64045.00 	64881.00 	66651.00 	67389.00 	68505.00 	70479.00 	73543.00 	75276.00 	77274.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,HR	: 	140.00 	140.00 	140.00 	140.00 	140.00 	140.00 	140.00 	140.00 	143.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2055.00 	2085.00 	2047.00 	1991.00 	1973 b	2205.00 	2205.00 	2157.00 	2115.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,IE	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,IS	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,IT	: 	0 b	7286.00 	7444.00 	7640.00 	7406.00 	7527.00 	7453.00 	7597.00 	7967.00 	7582.00 	7813.00 	7860.00 	7705.00 	7813.00 	7030.00 	6756.00 	6713.00 	7112.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,LI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,LT	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,LV	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,ME	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,MK	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,MT	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,NL	: 	50777 p	52398.00 	54871.00 	56136.00 	58090.00 	59117 b	59795.00 	62051.00 	63310.00 	66348.00 	68450.00 	69611.00 	69888.00 	70303.00 	71860 b	72441.00 	73194.00 	72897 b	75701.00 	76187 b	78373.00 	81328.00 	81879.00 	82702.00 	82703.00 	83246.00 	84507.00 	87025.00 	87861.00 	88181.00 	88933 b	90051.00 	91427.00 	92078.00 	92381.00 	92715.00 	93277.00 	94363.00 	94755 b	97684.00 	97834.00 	98451.00 	99020.00 	99593.00 	99908.00 	100913.00 	101843.00 	102910.00 	103276.00 	101269.00 	99141.00 	98600.00 	96500.00 	96300.00 	95000.00 	92200.00 	: 	: 	: 	: 	: 
PRV_NP,NR,PL	: 	3122.00 	3683.00 	3770.00 	3959 b	: 	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,PT	: 	7175.00 	7171.00 	7324.00 	7220.00 	7222.00 	6980.00 	6808.00 	7046.00 	7014.00 	7074.00 	6533.00 	6602.00 	6590.00 	6709.00 	6662.00 	6970.00 	6885.00 	6695.00 	6315.00 	6401.00 	6514.00 	6517 b	6868.00 	6909.00 	6897.00 	6797.00 	6895.00 	6830.00 	7121.00 	7008.00 	7047.00 	5980.00 	6881.00 	5952.00 	6412.00 	6370.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,RO	: 	586.00 	586.00 	584.00 	522.00 	530.00 	474.00 	405.00 	345.00 	260.00 	234.00 	210.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,NR,RS	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
