unit,facility,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
HAB_P,NRCBED,BG42	: 	: 	: 	: 	: 	: 	6320.29 	3363.64 	2939.48 	2144.34 	2072.71 	2055.09 	2069.07 	2126.85 	2337.85 	2363.56 	2401.96 	2458.28 	2573.54 	2590.18 	2341.91 	2400.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CH	: 	85.77 	85.45 	85.47 	85.16 	86.21 	85.77 	85.59 	85.51 	85.47 	85.22 	85.29 	84.24 	84.30 	83.99 	84.93 	85.68 	85.94 	86.13 	85.25 	85.64 	85.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CH01	: 	: 	: 	: 	: 	: 	115.99 	116.63 	115.96 	116.33 	114.57 	115.40 	116.33 	117.25 	117.94 	121.11 	125.89 	124.37 	123.21 	120.83 	119.51 	118.20 	129.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CH02	: 	: 	: 	: 	: 	: 	78.71 	77.59 	77.52 	77.35 	76.31 	76.08 	74.03 	74.87 	74.84 	75.21 	78.80 	79.80 	80.36 	78.26 	78.26 	79.08 	79.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CH03	: 	: 	: 	: 	: 	: 	90.68 	91.67 	92.76 	93.44 	94.21 	93.24 	91.88 	92.54 	91.73 	95.92 	95.00 	95.37 	96.30 	95.84 	96.45 	96.06 	94.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CH04	: 	: 	: 	: 	: 	: 	80.66 	80.69 	81.24 	80.42 	80.73 	81.80 	79.93 	79.12 	78.23 	78.68 	79.59 	79.75 	79.57 	79.77 	81.02 	81.65 	80.72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CH05	: 	: 	: 	: 	: 	: 	74.54 	74.26 	73.71 	74.21 	73.98 	73.43 	73.16 	73.01 	72.85 	73.25 	71.77 	71.80 	71.35 	71.04 	72.56 	71.89 	71.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CH06	: 	: 	: 	: 	: 	: 	82.15 	82.31 	81.66 	82.05 	83.84 	84.70 	84.34 	83.24 	82.22 	82.37 	79.23 	80.05 	81.10 	81.25 	80.66 	80.34 	77.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CH07	: 	: 	: 	: 	: 	: 	83.83 	83.54 	82.79 	81.41 	80.04 	79.85 	81.26 	81.16 	82.32 	80.53 	78.55 	78.17 	79.85 	79.45 	79.03 	76.48 	73.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CY	: 	: 	249.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
