unit,facility,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
HAB_P,NRCBED,ITF6	: 	: 	: 	: 	: 	: 	505.92 	554.54 	603.74 	811.57 	855.66 	899.09 	1185.26 	1436.49 	1137.35 	1152.12 	1217.01 	1342.89 	1404.17 b	1409.48 	1505.62 	1789.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITG1	: 	: 	: 	: 	: 	: 	1258.83 	1308.38 	1455.01 	1628.10 	1879.34 	1973.04 	2107.19 	1996.72 	2047.81 	2083.49 	2120.57 	2242.80 	2521.58 b	2567.91 	2447.17 	3311.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITG2	: 	: 	: 	: 	: 	: 	825.40 	852.24 	1089.79 	1565.53 	896.29 	934.10 	944.46 	980.78 	979.69 	1089.07 	1197.73 	1601.73 	2247.08 b	2298.51 	3992.48 	3788.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITH1	: 	: 	: 	: 	: 	: 	132.48 	116.89 	120.51 	119.25 	121.82 	121.26 	137.68 	136.74 	136.71 	231.80 	231.93 	234.83 	234.74 b	261.24 	285.64 	295.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITH2	: 	: 	: 	: 	: 	: 	109.87 	109.33 	109.68 	110.05 	116.85 	116.06 	114.69 	114.67 	116.43 	114.72 	114.11 	108.07 	111.47 b	113.46 	112.38 	113.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITH3	: 	: 	: 	: 	: 	: 	135.28 	139.96 	142.08 	145.04 	151.53 	151.98 	152.08 	159.28 	154.54 	157.89 	164.57 	161.90 	166.43 b	166.21 	162.48 	200.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITH4	: 	: 	: 	: 	: 	: 	135.33 	136.50 	138.49 	139.78 	143.10 	145.41 	179.51 	172.19 	174.53 	175.48 	179.94 	190.92 	214.60 b	209.86 	218.92 	222.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITH5	: 	: 	: 	: 	: 	: 	204.74 	210.84 	215.00 	208.90 	204.93 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITI1	: 	: 	: 	: 	: 	: 	271.87 	278.64 	258.70 	250.50 	267.39 	268.35 	271.24 	286.90 	301.21 	332.57 	343.13 	391.02 	389.48 b	340.78 	357.84 	335.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITI2	: 	: 	: 	: 	: 	: 	282.41 	278.01 	298.56 	313.18 	333.47 	334.56 	430.05 	417.92 	447.64 	462.99 	482.62 	411.51 	433.79 b	497.43 	448.72 	484.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITI3	: 	: 	: 	: 	: 	: 	298.01 	319.20 	326.41 	670.25 	690.39 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,ITI4	: 	: 	: 	: 	: 	: 	567.21 	612.01 	623.85 	723.27 	748.06 	806.40 	822.68 	831.43 	777.82 	923.86 	1404.35 	1332.03 	1230.50 b	1536.36 	1446.21 	1675.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,LI	125.58 	125.08 	130.72 	128.77 	135.10 	134.22 	133.43 	136.44 	141.16 	144.32 	150.67 	160.10 	158.85 b	162.72 	161.75 	160.72 	159.42 	165.61 	163.84 	161.99 	159.59 	156.94 	154.91 	152.25 	150.15 	149.20 	147.96 	179.23 	176.99 	174.28 	171.82 	169.07 	166.57 	164.40 	162.10 	160.22 	196.19 	194.13 	193.04 	191.64 	187.39 	186.22 
HAB_P,NRCBED,LI00	: 	: 	: 	: 	: 	: 	133.43 	136.44 	141.16 	144.32 	150.67 	160.10 	158.85 b	162.72 	161.75 	160.72 	159.42 	165.61 	163.84 	161.99 	159.59 	156.94 	154.91 	152.25 	150.15 	149.20 	147.96 	179.23 	176.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,LT	: 	130.55 	131.48 	134.64 	137.68 	142.76 	151.65 	155.51 	156.55 	160.02 	164.73 	166.33 	165.21 	167.78 	171.46 	176.03 	180.36 	190.38 	192.21 	194.72 	192.11 	190.89 	195.30 	198.76 	218.36 	245.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,LT00	: 	: 	: 	: 	: 	: 	151.65 	155.51 	156.55 	160.02 	164.84 	171.36 	174.43 	176.17 	179.12 	182.71 	185.34 	193.67 	194.41 	196.19 	192.69 	190.89 	195.30 	198.76 	218.36 	245.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,LU	86.75 	87.42 	86.85 	86.14 	85.62 	85.08 	82.62 	84.55 b	: 	127.94 e	131.86 	130.62 	138.70 	144.19 	146.16 	152.81 	146.78 	150.05 	153.46 	164.70 	172.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,LU00	: 	: 	: 	: 	: 	: 	82.62 	84.55 b	: 	127.94 e	131.86 	130.62 	138.70 	144.19 	146.16 	152.81 	146.78 	150.05 	153.46 	164.70 	172.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,LV	: 	389.52 	367.41 	371.75 	364.67 	364.63 	366.34 	355.84 b	265.24 	266.45 	294.50 	340.46 	391.46 	450.23 	413.98 	402.53 	421.14 	406.67 	403.16 	439.28 	453.12 	455.39 	463.09 	511.57 	498.02 	588.42 	658.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,LV00	: 	: 	: 	: 	: 	: 	366.34 	355.84 b	265.24 	266.45 	294.28 	350.83 	412.14 	468.59 	428.24 	415.16 	432.75 	415.60 	409.75 	444.69 	456.57 	456.43 	463.09 	511.57 	498.02 	588.42 	658.99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,MK	: 	2066.33 	2070.48 	2197.05 	2110.38 	2108.33 	2262.54 	2259.53 	2219.39 	2468.32 	2192.27 	2156.35 	3493.48 b	3510.97 	3505.25 	3400.38 	5819.59 	7391.07 	7370.08 	7386.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,MK00	: 	: 	: 	: 	: 	: 	2262.22 	2259.36 	2219.39 	2468.32 	2192.27 	2156.35 	3493.48 b	3510.97 	3505.25 	3400.38 	5819.59 	7391.07 	7370.08 	7386.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,MT	: 	79.82 	88.81 	86.46 	91.82 	96.23 	96.02 	97.43 	99.04 b	91.55 	94.39 	93.97 	99.15 b	156.37 b	184.87 	187.12 	195.28 b	125.44 	128.53 	124.52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,MT00	: 	: 	: 	: 	: 	: 	93.18 	95.82 	98.44 b	91.42 	94.48 	94.10 	99.52 b	157.35 b	185.93 	187.63 	195.28 b	125.44 	128.53 	124.52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,NL	: 	72.79 p	72.55 	72.67 	72.96 	72.66 	72.01 	70.30 	70.25 	69.78 b	96.90 	96.48 	96.41 	97.14 	96.70 	96.11 	95.73 	95.34 	95.52 	95.65 	94.67 	94.32 	93.07 	91.45 	89.55 	86.46 	84.35 	82.75 	81.25 	80.28 	79.19 	77.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,NO	137.16 p	135.79 	133.82 	132.38 	130.61 	129.27 	127.46 	124.36 	122.57 	120.26 	119.99 	118.39 	117.57 	115.36 	114.25 	113.46 	112.69 	110.91 	109.42 	107.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,NO01	: 	: 	: 	: 	: 	: 	146.94 	141.78 	139.69 	136.33 	134.59 	131.11 	130.29 	126.68 	123.67 	122.74 	120.85 	116.74 	116.01 	112.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,NO02	: 	: 	: 	: 	: 	: 	101.67 	101.32 	98.20 	95.23 	95.93 	92.58 	91.83 	91.49 	92.48 	92.15 	92.24 	91.30 	91.50 	91.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,NO03	: 	: 	: 	: 	: 	: 	137.38 	135.18 	134.86 	133.65 	133.11 	133.85 	132.74 	131.56 	131.56 	130.45 	131.08 	130.22 	129.07 	125.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,NO04	: 	: 	: 	: 	: 	: 	145.62 	142.93 	140.89 	138.33 	137.67 	136.29 	135.53 	131.94 	130.06 	128.56 	125.71 	124.72 	123.60 	121.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,NO05	: 	: 	: 	: 	: 	: 	112.15 	107.69 	106.54 	104.14 	104.84 	103.92 	103.07 	101.16 	100.62 	99.44 	98.62 	96.60 	93.22 	91.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,NO06	: 	: 	: 	: 	: 	: 	123.25 	121.21 	119.38 	119.11 	117.54 	114.48 	115.61 	113.37 	112.19 	111.91 	110.99 	111.50 	108.50 	107.22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,NO07	: 	: 	: 	: 	: 	: 	106.07 	104.42 	102.30 	100.40 	101.65 	101.82 	100.63 	98.90 	97.81 	98.66 	99.72 	98.40 	98.45 	95.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL	: 	514.35 	498.95 	504.98 	511.94 	524.01 	530.14 	540.88 	556.71 	570.21 	577.79 	595.01 	602.09 	600.85 b	431.73 	431.32 	429.94 	437.78 	444.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL11	: 	: 	: 	: 	: 	: 	536.28 	536.07 	592.67 	586.50 	612.91 	635.69 	615.56 	598.45 b	384.83 	381.52 	365.81 	369.76 	376.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL12	: 	: 	: 	: 	: 	: 	515.82 	534.55 	526.64 	539.25 	545.70 	561.52 	561.30 	560.15 b	423.52 	422.71 	413.60 	411.40 	433.17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL21	: 	: 	: 	: 	: 	: 	487.95 	509.65 	514.00 	555.20 	577.26 	591.46 	592.21 	571.27 b	394.36 	396.73 	400.93 	396.51 	401.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL22	: 	: 	: 	: 	: 	: 	568.79 	596.21 	651.57 	671.16 	676.30 	703.13 	725.05 	728.59 b	514.13 	524.61 	542.64 	557.28 	534.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL31	: 	: 	: 	: 	: 	: 	581.01 	570.99 	582.95 	632.41 	639.02 	675.15 	691.27 	674.78 b	529.27 	595.56 	536.48 	531.62 	536.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL32	: 	: 	: 	: 	: 	: 	553.34 	572.82 	591.96 	585.03 	603.95 	616.03 	608.17 	637.82 b	416.00 	420.42 	435.93 	441.14 	458.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL33	: 	: 	: 	: 	: 	: 	496.18 	485.06 	524.03 	515.66 	520.25 	525.46 	529.33 	534.91 b	358.80 	354.85 	351.98 	357.98 	379.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL34	: 	: 	: 	: 	: 	: 	617.37 	610.01 	585.85 	616.03 	609.02 	640.92 	664.77 	642.62 b	437.50 	419.58 	432.50 	444.20 	468.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL41	: 	: 	: 	: 	: 	: 	657.89 	666.26 	683.27 	683.43 	675.23 	675.51 	698.61 	727.79 b	520.65 	515.02 	481.20 	509.41 	496.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL42	: 	: 	: 	: 	: 	: 	512.07 	483.95 	525.28 	569.81 	578.85 	551.30 	607.71 	574.74 b	435.66 	424.54 	436.51 	440.50 	510.34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL43	: 	: 	: 	: 	: 	: 	490.88 	496.80 	515.09 	533.81 	614.90 	552.82 	561.77 	534.85 b	323.13 	317.75 	316.76 	375.64 	378.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL51	: 	: 	: 	: 	: 	: 	392.02 	404.42 	414.72 	409.05 	407.28 	424.21 	422.38 	438.28 b	375.88 	373.45 	376.14 	382.22 	382.28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL52	: 	: 	: 	: 	: 	: 	420.03 	449.40 	447.79 	458.26 	470.62 	483.33 	474.73 	486.17 b	341.95 	329.03 	327.86 	334.79 	326.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL61	: 	: 	: 	: 	: 	: 	579.43 	594.00 	595.15 	609.86 	631.33 	655.73 	663.83 	688.32 b	476.21 	456.76 	467.93 	487.32 	480.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL62	: 	: 	: 	: 	: 	: 	515.89 	520.11 	534.38 	550.15 	601.98 	617.16 	582.01 	554.02 b	390.61 	384.01 	400.07 	402.71 	399.52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,PL63	: 	: 	: 	: 	: 	: 	623.78 	631.63 	626.11 	627.09 	699.66 	755.97 	722.34 	674.75 b	500.40 	507.33 	522.24 	520.05 	516.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,RO	: 	472.04 	485.46 	497.17 	503.54 	513.64 	525.24 b	709.79 	731.98 	737.29 	733.68 	784.12 b	1004.36 	972.81 	991.12 	1043.92 	1051.53 	969.35 	1000.06 	1078.92 	1086.98 	1143.01 	1042.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,RO11	: 	: 	: 	: 	: 	: 	558.57 b	683.72 	679.74 	683.56 	728.63 	735.36 b	937.81 	1015.60 	971.74 	1155.96 	1058.80 b	1034.31 	1043.24 	1197.95 	1202.19 	1330.47 	1193.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,RO12	: 	: 	: 	: 	: 	: 	442.80 b	586.57 	614.22 	578.86 	616.59 	715.09 b	808.85 	802.72 	757.62 	824.94 	827.80 b	745.29 	744.64 	753.04 	755.56 	783.20 	773.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,RO21	: 	: 	: 	: 	: 	: 	463.16 b	591.59 	625.92 	640.14 	674.56 	764.66 b	852.85 	875.52 	891.63 	948.51 	950.68 b	884.39 	895.84 	933.02 	938.91 	998.08 	879.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,RO22	: 	: 	: 	: 	: 	: 	419.67 b	669.18 	707.20 	728.60 	835.38 	987.64 b	1737.52 	1367.94 	1311.42 	1342.31 	1470.45 b	1315.12 	1306.18 	1516.50 	1528.94 	1645.49 	1445.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,RO31	: 	: 	: 	: 	: 	: 	558.65 b	679.61 	689.82 	687.19 	758.52 	745.43 b	955.50 	842.11 	861.89 	898.35 	925.97 b	890.60 	971.21 	1023.99 	1075.50 	1042.47 	911.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,RO32	: 	: 	: 	: 	: 	: 	708.51 b	1171.67 	1151.67 	1329.08 	1246.50 	1092.41 b	1586.36 	1579.44 	1604.79 	1630.45 	1652.53 b	1515.10 	1545.28 	1575.88 	1378.00 	1613.06 	1598.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,RO41	: 	: 	: 	: 	: 	: 	585.50 b	742.14 	784.11 	788.52 	790.95 	885.85 b	1198.45 	1119.81 	1241.56 	1143.46 	1147.05 b	935.64 	1077.95 	1183.52 	1192.28 	1234.70 	1047.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,RO42	: 	: 	: 	: 	: 	: 	657.77 b	1015.57 	1021.45 	983.49 	1007.24 	993.59 b	1238.38 	1184.25 	1251.11 	1090.46 	1062.78 b	977.84 	926.39 	1045.34 	1077.04 	1123.37 	1118.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,RS	: 	294.13 	296.78 	343.73 	343.08 	354.12 	358.44 	362.81 b	478.76 	481.80 	488.20 	491.23 	509.03 	511.07 	506.42 	508.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,SE	: 	77.35 	74.18 	72.18 	72.05 	78.36 	78.15 	78.33 b	75.46 b	73.99 	71.74 	70.40 d	69.37 	68.19 	67.96 	66.92 	65.73 	63.73 	61.30 	59.50 	58.46 	58.78 	60.05 	62.35 	57.70 	59.09 	57.95 	65.37 	66.94 	71.18 b	93.57 	95.72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,SE11	: 	: 	: 	: 	: 	: 	99.63 	100.27 b	: 	97.09 	93.16 	91.31 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,SE12	: 	: 	: 	: 	: 	: 	72.45 	73.99 b	: 	67.66 	66.58 	66.39 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,SE21	: 	: 	: 	: 	: 	: 	71.45 	70.09 b	: 	65.10 	62.13 	62.20 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,SE22	: 	: 	: 	: 	: 	: 	88.31 	88.11 b	: 	82.40 	78.63 	77.19 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,SE23	: 	: 	: 	: 	: 	: 	76.66 	75.73 b	: 	73.99 	71.99 	69.35 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,SE31	: 	: 	: 	: 	: 	: 	68.15 	68.52 b	: 	64.99 	64.31 	63.30 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,SE32	: 	: 	: 	: 	: 	: 	60.45 	59.97 b	: 	55.60 	54.57 	52.49 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,SE33	: 	: 	: 	: 	: 	: 	58.77 	60.82 b	: 	57.14 	55.62 	55.24 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,SI	: 	98.61 	98.74 	98.46 	99.74 	100.24 	100.48 	101.96 	101.89 	103.00 	106.13 	107.11 	107.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,SK	: 	128.64 	128.37 	129.22 	132.70 	133.51 	134.91 	144.36 	150.66 	151.70 	164.54 	164.13 	169.49 	176.09 	175.83 	178.02 	183.30 	181.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,TR	1111.64 p	1147.13 	1212.25 	1308.48 	1395.55 	1511.44 	1577.37 	1652.96 	1683.75 	1745.64 	1912.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,TR10	: 	: 	: 	: 	: 	: p	1418.53 	1480.62 e	1500.71 e	1545.85 e	1633.64 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,TR21	: 	: 	: 	: 	: 	: p	2153.65 	2235.86 e	2267.94 e	2349.66 e	2480.51 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,TR22	: 	: 	: 	: 	: 	: p	2109.72 	2217.35 e	2258.17 e	2353.70 e	2533.55 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,TR31	: 	: 	: 	: 	: 	: p	896.46 	939.77 e	957.11 e	993.60 e	1065.73 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,TR32	: 	: 	: 	: 	: 	: p	1242.81 	1296.37 e	1313.68 e	1362.26 e	1453.12 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,TR33	: 	: 	: 	: 	: 	: p	1472.12 	1555.79 e	1598.86 e	1666.24 e	1812.39 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,TR41	: 	: 	: 	: 	: 	: p	1746.46 	1823.29 e	1850.50 e	1914.03 e	2043.13 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
