unit,wstatus,isco08,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
HAB_P,LIC,OC221,NL	: 	244.96 	251.61 	256.43 b	197.25 	204.51 	209.48 	215.11 	221.36 	227.40 	234.24 	242.45 	249.01 	255.25 	261.88 	269.78 	278.02 	286.68 	294.90 	303.84 	312.70 	320.92 	331.91 	340.71 	: 	: 	: 	: 	: 	: 	385.72 	399.12 	411.99 	411.70 	424.18 	437.21 	450.15 	462.54 	479.69 	496.85 	508.16 	524.32 	541.04 	560.40 	582.95 	601.15 	624.26 	670.55 	695.26 	734.68 	759.13 	800.30 	823.19 	841.47 	852.73 	856.10 	856.06 	872.20 	877.14 	891.80 	893.43 	896.76 
HAB_P,LIC,OC221,NO	143.67 	147.27 	150.76 	155.29 	158.38 	163.77 	168.63 b	171.76 	176.18 	180.08 	184.57 	185.97 	191.50 	198.76 	206.26 	215.03 	215.31 	225.37 	228.72 	230.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,PL	: 	: 	: 	: 	260.04 	261.90 	265.71 	268.84 	272.50 	277.61 	279.45 	283.28 	286.67 	290.11 	301.74 	294.78 	301.52 	305.33 	312.05 	292.96 	308.98 	300.85 	302.34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,PT	: 	182.22 	187.90 	194.16 	201.02 	208.42 	216.73 	225.93 	234.71 	243.83 	251.05 	259.96 	268.73 	276.71 	284.04 	291.20 	297.19 	304.62 	310.97 	316.34 	319.77 	324.97 	330.71 	335.91 	341.80 	346.53 	351.71 	353.93 	356.00 	355.56 	359.80 	364.74 	370.89 	381.60 	389.15 	399.73 	421.34 	425.32 	446.30 	462.97 	482.77 	521.62 	552.61 	621.39 	713.91 	827.95 	868.19 	886.52 	982.49 	1009.76 	1079.66 	1119.77 	1150.36 	1094.73 	1196.67 	1239.38 	1211.44 	1258.93 	1261.40 	1234.76 	1236.58 	1321.85 
HAB_P,LIC,OC221,RO	: 	332.92 	343.07 b	349.52 	352.48 	388.75 	409.49 	500.24 	474.67 	469.41 	450.22 	449.93 	446.17 	443.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,RS	189.62 	201.61 	204.72 	214.98 	229.13 	233.18 	236.23 	241.97 	249.97 	259.24 	269.28 	279.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,SE	: 	141.40 	144.37 	146.87 	149.41 	151.54 	153.91 	157.87 	161.80 	166.37 	170.92 	175.55 	179.87 	184.44 	190.04 	196.75 	203.22 	209.92 	217.36 	224.67 	231.43 	237.85 	243.82 	249.63 	255.46 	261.65 	267.91 	273.54 	280.48 	288.33 	297.58 	307.78 	317.07 	327.91 	340.72 	354.47 	371.38 	388.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC221,UK	: 	: 	: 	265.63 	272.25 	276.57 	277.43 	272.70 	269.17 	269.65 	271.77 	276.91 	284.97 b	249.69 	250.76 	253.17 	252.44 	259.54 	267.58 	284.31 	287.21 	291.63 	297.27 	303.14 	311.29 	318.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2261,BE	879.01 	905.36 	924.15 	950.12 	994.33 	1023.99 	1051.11 	1072.84 	1109.28 	1099.70 	1117.91 	1129.06 	1136.95 	1108.12 	1106.73 	1108.21 	1119.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2261,DE	: 	820.85 	830.74 	839.76 	849.12 	858.27 	863.81 	868.99 	879.59 	888.36 	897.65 	917.75 	937.29 	952.31 	966.52 	978.90 	988.52 	997.61 	1006.26 	1015.32 	1028.31 	1027.66 	1035.00 	1037.18 	1044.96 	1057.12 	1060.37 	1076.77 	1090.88 	1113.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
