codigo,nome,latitude,longitude,codigo_re,population,admin_name,capital
2973841,Stains,48.95,2.3833,8,38666,Île-de-France,
6614574,Marcq-en-Baroeul,50.6711,3.0972,11,38570,Hauts-de-France,
3026467,Chartres,48.456,1.484,6,38426,Centre-Val de Loire,minor
2983739,Saint-Martin-d’Hères,45.1672,5.7653,3,38398,Auvergne-Rhône-Alpes,
6433030,Joué-lés-Tours,47.3514,0.6625,6,37893,Centre-Val de Loire,
2986501,Poissy,48.9294,2.0456,8,37388,Île-de-France,
3026083,Châtillon,48.8,2.29,8,37010,Île-de-France,
8287970,Villefranche-sur-Saône,45.9833,4.7167,3,36288,Auvergne-Rhône-Alpes,minor
6433192,Échirolles,45.1436,5.7183,3,36840,Auvergne-Rhône-Alpes,
8298054,Villepinte,48.955,2.541,8,36830,Île-de-France,
6446266,Franconville,48.9889,2.2314,8,36762,Île-de-France,
2975525,Savigny-sur-Orge,48.6797,2.3457,8,36533,Île-de-France,
2980558,Sainte-Geneviève-des-Bois,48.6369,2.3403,8,36015,Île-de-France,
3023924,Conflans-Sainte-Honorine,48.9992,2.0983,8,35656,Île-de-France,
6451007,Annemasse,46.1958,6.2364,3,35712,Auvergne-Rhône-Alpes,
3035403,Bagnolet,48.8692,2.4181,8,35442,Île-de-France,
6438650,Creil,49.2583,2.4833,11,35657,Hauts-de-France,
2992292,Montluçon,46.3408,2.6033,3,34938,Auvergne-Rhône-Alpes,minor
2988758,Palaiseau,48.7145,2.2457,8,35514,Île-de-France,minor
6456718,La Ciotat,43.1769,5.6086,13,35174,Provence-Alpes-Côte d’Azur,
6445063,Saint-Raphaël,43.4252,6.7684,13,35042,Provence-Alpes-Côte d’Azur,
2990612,Neuilly-sur-Marne,48.8537,2.549,8,34993,Île-de-France,
2979070,Saint-Chamond,45.4775,4.5153,3,34967,Auvergne-Rhône-Alpes,
2972742,Thonon-les-Bains,46.3627,6.475,3,34756,Auvergne-Rhône-Alpes,minor
3035843,Auxerre,47.7986,3.5672,4,34634,Bourgogne-Franche-Comté,minor
3014078,Haguenau,48.82,7.79,1,34504,Grand Est,minor
2983362,Roanne,46.0367,4.0689,3,34004,Auvergne-Rhône-Alpes,minor
3036460,Athis-Mons,48.7074,2.3889,8,34347,Île-de-France,
2968620,Villenave-d’Ornon,44.7806,-0.5658,2,34090,Nouvelle-Aquitaine,
6614566,Le Perreux-Sur-Marne,48.8422,2.5036,8,33793,Île-de-France,
2996882,Mâcon,46.3063,4.8313,4,33638,Bourgogne-Franche-Comté,minor
8287360,Agen,44.2049,0.6212,2,33012,Nouvelle-Aquitaine,minor
2967244,Villeneuve-Saint-Georges,48.7325,2.4497,8,33545,Île-de-France,
