lat_departure,lon_departure,lat_arrival,lon_arrival
47.4947,7.4833,47.59,7.57
47.545,7.4031,47.59,7.57
47.6997,7.3597,47.59,7.57
47.5583,7.5075,47.59,7.57
49.19,6.9,49.11,7.07
49.11,7.07,49.11,7.07
49.2,6.9292,49.11,7.07
49.1739,6.9347,49.11,7.07
49.2117,6.8575,49.11,7.07
49.1147,6.8636,49.11,7.07
48.9961,7.0278,49.11,7.07
49.1433,6.8564,49.11,7.07
49.1564,7.0278,49.11,7.07
49.1917,6.9683,49.11,7.07
49.0758,7.0097,49.11,7.07
49.0525,6.9308,49.11,7.07
49.0608,7.0364,49.11,7.07
48.9408,7.0886,49.11,7.07
49.1669,6.8708,49.11,7.07
49.1736,6.9147,49.11,7.07
49.1792,6.9983,49.11,7.07
49.2197,6.9239,49.11,7.07
49.1283,6.8931,49.11,7.07
49.0453,7.265,49.11,7.07
49.1372,7.0025,49.11,7.07
49.0147,7.0842,49.11,7.07
49.1133,6.8311,49.11,7.07
49.1086,6.9403,49.11,7.07
48.9417,7.1867,49.11,7.07
49.0269,7.035,49.11,7.07
48.9714,7.0439,49.11,7.07
49.0544,7.3042,49.11,7.07
49.0917,7.0922,49.11,7.07
49.0769,7.0678,49.11,7.07
49.0933,6.8942,49.11,7.07
49.1069,6.9814,49.11,7.07
49.0678,7.2186,49.11,7.07
49.1472,6.8944,49.11,7.07
49.0108,6.965,49.11,7.07
49.0889,7.1086,49.11,7.07
49.1483,6.9492,49.11,7.07
48.9992,7.1286,49.11,7.07
49.1192,6.9706,49.11,7.07
49.0375,7.2522,49.11,7.07
49.1664,6.965,49.11,7.07
49.1783,6.9622,49.11,7.07
49.1319,6.8392,49.11,7.07
49.1253,6.9386,49.11,7.07
49.0356,6.9394,49.11,7.07
49.1156,7.1806,49.11,7.07
49.0433,7.1828,49.11,7.07
48.7247,4.5844,48.7247,4.5844
48.7011,4.5892,48.7247,4.5844
48.7583,4.545,48.7247,4.5844
48.8106,4.6092,48.7247,4.5844
48.7414,7.3619,48.7414,7.3619
48.6372,7.4481,48.7414,7.3619
48.8731,7.4769,48.7414,7.3619
48.69,7.3811,48.7414,7.3619
48.7514,7.1069,48.7414,7.3619
48.6028,7.4411,48.7414,7.3619
48.9203,7.3761,48.7414,7.3619
48.6539,7.15,48.7414,7.3619
48.8678,7.1911,48.7414,7.3619
48.725,7.3783,48.7414,7.3619
48.6694,7.1169,48.7414,7.3619
48.6453,7.4067,48.7414,7.3619
48.5936,7.4939,48.7414,7.3619
48.8231,7.4011,48.7414,7.3619
48.8047,7.4028,48.7414,7.3619
48.5833,7.7458,48.4219,7.6611
48.53,7.72,48.4219,7.6611
48.5575,7.6831,48.4219,7.6611
48.5511,7.7136,48.4219,7.6611
48.4622,7.4819,48.4219,7.6611
48.4219,7.6611,48.4219,7.6611
48.5428,7.4922,48.4219,7.6611
48.515,7.6464,48.4219,7.6611
48.4081,7.4497,48.4219,7.6611
48.5789,7.6897,48.4219,7.6611
48.5386,7.4542,48.4219,7.6611
48.3706,7.5922,48.4219,7.6611
48.4906,7.6803,48.4219,7.6611
48.4881,7.7158,48.4219,7.6611
48.4967,7.4694,48.4219,7.6611
48.4697,7.7258,48.4219,7.6611
48.5867,7.6664,48.4219,7.6611
48.5586,7.6411,48.4219,7.6611
48.3822,7.7025,48.4219,7.6611
