lon,lat
4.5844,48.7247,
4.5844,48.7247,
4.5844,48.7247,
4.5844,48.7247,
7.3619,48.7414,
7.3619,48.7414,
7.3619,48.7414,
7.3619,48.7414,
7.3619,48.7414,
7.3619,48.7414,
7.3619,48.7414,
7.3619,48.7414,
7.3619,48.7414,
7.3619,48.7414,
7.3619,48.7414,
7.3619,48.7414,
7.3619,48.7414,
7.3619,48.7414,
7.3619,48.7414,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.6611,48.4219,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
7.7083,48.7319,
