lon,lat
-42.7498,-19.647,
-43.6688,-15.3432,
-43.3132,-15.8022,
-43.3132,-15.8022,
-44.3639,-15.4802,
-44.3639,-15.4802,
-44.2758,-15.9891,
-44.2758,-15.9891,
-43.9894,-20.5339,
-43.9894,-20.5339,
-42.2589,-17.0831,
-44.4376,-17.229,
-44.0304,-19.2345,
-44.0304,-19.2345,
-41.0117,-16.4375,
-41.0229,-16.6522,
-42.6775,-19.1729,
-42.6775,-19.1729,
-43.1735,-19.8126,
-46.1715,-17.7398,
-44.1643,-17.758,
-44.1643,-17.758,
-40.1841,-15.9009,
-42.6014,-16.9053,
-42.4946,-18.2195,
-42.4946,-18.2195,
-43.3398,-21.7595,
-43.3398,-21.7595,
-46.5735,-21.2493,
-46.5735,-21.2493,
-41.7488,-17.6279,
-45.5401,-20.0237,
-44.0797,-20.9139,
-46.4012,-18.7715,
-46.5165,-17.8323,
-43.8932,-19.6397,
-43.8932,-19.6397,
-41.6228,-20.1539,
-41.6228,-20.1539,
-41.6228,-20.1539,
-45.3498,-21.9671,
-42.4732,-21.3715,
-44.5735,-17.887,
-45.0009,-21.248,
-45.0009,-21.248,
-42.6936,-17.0793,
-42.6421,-21.5296,
-42.6421,-21.5296,
-44.3208,-22.0275,
-44.3208,-22.0275,
-43.7934,-21.8386,
-50.5815,-19.5512,
-42.0976,-20.4468,
-45.6794,-19.7911,
-40.7245,-17.0723,
-40.7245,-17.0723,
-40.7245,-17.0723,
-40.7245,-17.0723,
-45.9219,-21.6778,
-45.9219,-21.6778,
-44.3287,-21.483,
-42.0769,-17.8456,
-42.0769,-17.8456,
-43.9391,-14.7529,
-43.9391,-14.7529,
-42.028,-20.2572,
-42.028,-20.2572,
-41.9589,-20.3591,
-41.9589,-20.3591,
-41.9589,-20.3591,
-41.9589,-20.3591,
-40.9874,-18.7761,
-43.0062,-21.8707,
-43.0062,-21.8707,
-43.0062,-21.8707,
-45.3773,-22.3044,
-43.414,-20.3765,
-42.0822,-18.5079,
-45.1645,-22.447,
-45.1645,-22.447,
-45.2434,-19.3306,
-40.7366,-15.6869,
-44.4318,-19.9794,
-44.4318,-19.9794,
-44.4318,-19.9794,
-42.3401,-20.2873,
-44.0868,-19.5543,
-44.0868,-19.5543,
-46.2181,-19.9865,
-41.4728,-16.2245,
-41.4052,-18.6631,
-43.3337,-21.1976,
-43.3337,-21.1976,
-42.5884,-17.2156,
-44.6051,-21.6797,
-44.1602,-16.256,
-42.6122,-21.2021,
-42.6122,-21.2021,
-44.4092,-14.7348,
-45.4127,-19.8387,
-44.118,-18.3245,
-44.118,-18.3245,
-45.5391,-21.7579,
-44.3719,-14.4197,
-44.3719,-14.4197,
-48.881,-18.869,
-42.8718,-15.1514,
-42.8718,-15.1514,
-42.8718,-15.1514,
-46.3635,-21.3271,
-47.4912,-18.7302,
-41.2473,-16.8691,
-46.9753,-21.1873,
-46.9753,-21.1873,
-43.8578,-16.7282,
-42.4941,-15.1702,
-45.3584,-18.5998,
-44.601,-18.5356,
-43.3795,-19.2236,
-42.3693,-21.13,
-42.3693,-21.13,
-41.4407,-19.8121,
-46.5213,-21.3692,
-42.2481,-18.4544,
-42.2481,-18.4544,
-40.3533,-17.8481,
-40.3533,-17.8481,
-46.4874,-16.5021,
-44.6138,-21.2168,
-44.6138,-21.2168,
-45.235,-21.2324,
-43.0333,-19.7577,
-43.8509,-19.9758,
-43.8509,-19.9758,
-41.4984,-18.4417,
-41.4984,-18.4417,
-41.4984,-18.4417,
-47.6779,-19.1461,
-46.4157,-21.1286,
-46.4157,-21.1286,
-44.9847,-19.8713,
-44.9847,-19.8713,
-44.9847,-19.8713,
-44.9847,-19.8713,
-44.9847,-19.8713,
-41.8826,-17.4654,
-43.9356,-21.8598,
-43.5719,-17.3982,
-44.829,-20.6982,
-44.829,-20.6982,
-43.6962,-20.5263,
-46.3716,-22.2779,
-46.3716,-22.2779,
-46.3716,-22.2779,
-43.512,-20.3796,
-42.5088,-16.3646,
-42.5088,-16.3646,
-41.4821,-17.0758,
-41.4821,-17.0758,
-45.6627,-20.3705,
-45.6627,-20.3705,
-43.4088,-21.2913,
-43.4088,-21.2913,
-42.3123,-21.3748,
-40.4296,-16.7364,
-46.8711,-17.2252,
-44.6114,-19.8534,
-44.6114,-19.8534,
-44.6114,-19.8534,
-44.6114,-19.8534,
-45.7374,-21.5465,
-45.7803,-22.5539,
-45.7803,-22.5539,
-45.7803,-22.5539,
-45.7803,-22.5539,
-45.7803,-22.5539,
-44.9709,-22.3871,
-44.4926,-20.6539,
-44.4926,-20.6539,
-44.2344,-22.2097,
-46.609,-20.7193,
-46.609,-20.7193,
-44.0787,-16.0773,
-46.5013,-18.5699,
-46.9934,-18.9379,
-46.9934,-18.9379,
-42.9752,-20.8754,
-41.0035,-17.4267,
-41.0035,-17.4267,
-42.5583,-18.5441,
-41.2909,-16.0086,
-42.3304,-20.5219,
-42.1515,-20.8266,
-42.1515,-20.8266,
-45.4654,-22.2386,
-45.4654,-22.2386,
-44.0383,-19.6308,
-43.743,-21.7076,
-44.6604,-19.6284,
-44.6604,-19.6284,
-44.6604,-19.6284,
-47.2963,-19.3434,
-45.0896,-21.0932,
-42.2333,-19.1573,
-42.7379,-20.2438,
-42.7379,-20.2438,
-44.1938,-21.469,
-44.2243,-20.4715,
-45.8049,-20.4827,
-45.1402,-16.0572,
-48.7027,-19.9092,
-48.7027,-19.9092,
-43.2967,-20.6834,
-43.2967,-20.6834,
-42.3434,-21.6554,
-42.3434,-21.6554,
-44.934,-17.3392,
-44.8964,-19.6741,
-45.9589,-20.4762,
-48.7,-20.1376,
-45.9658,-21.78,
-45.9658,-21.78,
-46.5692,-21.78,
-46.5692,-21.78,
-41.6334,-19.6208,
-45.0141,-19.2257,
